name ancestor val
Rul5P 0.0047 0.0047
PEP 0.0109 0.0109
P2f 0.01 0.01
Rib5P 0.014 0.014
P2NADP 0.01 0.01
NADPf 0.01 0.01
NADH 0.0002 0.0002
P2NADPH 0.024 0.024
P1NADPH 0.024 0.024
NAD 0.0653 0.0653
Mgf 0.8 0.8
Xul5P 0.0127 0.0127
Phi 0.9992 0.9992
MgATP 1.4 1.4
Pyr 0.084 0.084
MgAMP 0.01 0.01
AMPf 0.01 0.01
Gri2P 0.0084 0.0084
Gri23P2f 2.0601 2.0601
Sed7P 0.0154 0.0154
ATPf 0.25 0.25
Gri13P2 0.0005 0.0005
Lac 1.6803 1.6803
GraP 0.0061 0.0061
GlcA6P 0.025 0.025
Glc6P 0.0394 0.0394
E4P 0.0063 0.0063
GSH 3.1136 3.1136
DHAP 0.1492 0.1492
Fru16P2 0.0097 0.0097
MgADP 0.1 0.1
GSSG 0.0004 0.0004
NADPHf 0.004 0.004
Fru6P 0.0153 0.0153
P1NADP 0.01 0.01
Gri3P 0.0658 0.0658
MgGri23P2 0.5 0.5
P1f 0.01 0.01
Glcin 4.5663 4.5663
ADPf 0.25 0.25
