met s copt mean_km_f mean_vmax_f mean_km_b mean_vmax_b in_mean_km_f in_mean_vmax_f in_mean_km_b in_mean_vmax_b out_mean_km_f out_mean_vmax_f out_mean_km_b out_mean_vmax_b degree in_degree out_degree
1 13993.2 0 9.87649e+06 7184.57 0 0 1.30752e+07 2173.51 0 0 1.87978e+06 19712.2 0 0 8 6 2
2 863.36 0 1.37625e+07 4841.65 0 0 244979 6351.93 0 0 3.53907e+07 2425.21 0 0 13 8 5
3 5785.78 0 2.8943e+07 4215.32 0 0 2.89779e+07 2149.97 0 0 2.89198e+07 5592.22 0 0 10 4 6
4 1.02747 0 1.13151e+07 5987.46 0 0 1.91499e+06 462.344 0 0 2.07151e+07 11512.6 0 0 12 6 6
5 1834.12 0 1.31069e+07 346.365 0 0 6.68572e+06 392.013 0 0 2.27387e+07 277.893 0 0 10 6 4
6 487046 0 6.59777e+06 3303.05 0 0 9.33834e+06 5341.25 0 0 2.76098e+06 449.568 0 0 12 7 5
7 38.3811 0 4.72332e+06 4360.63 0 0 4.97613e+06 2022.45 0 0 4.54274e+06 6030.77 0 0 12 5 7
8 274.165 0 1.77527e+07 2210.38 0 0 2.96106e+07 4623.04 0 0 9.28278e+06 487.051 0 0 12 5 7
9 4948.17 0 1.08306e+07 5891.06 0 0 1.58267e+06 7201.34 0 0 2.56272e+07 3794.6 0 0 13 8 5
10 0.722474 0 8.28898e+06 8617.35 0 0 1.53634e+07 336.524 0 0 4.35875e+06 13217.8 0 0 14 5 9
11 47.8476 0 1.18749e+07 5603.79 0 0 1.39279e+07 7451.65 0 0 8.45341e+06 2524.01 0 0 16 10 6
12 455444 0 4.31801e+06 5304.33 0 0 7.10571e+06 8716.4 0 0 415229 527.422 0 0 12 7 5
13 12.52 0 3.02881e+06 2862.66 0 0 5.90394e+06 1238.46 0 0 728710 4162.02 0 0 9 4 5
14 29146.2 0 5.24624e+06 4827.37 0 0 5.86555e+06 703.152 0 0 4.93659e+06 6889.47 0 0 12 4 8
15 380.869 0 1.02223e+07 3719.61 0 0 1.54705e+07 4864.53 0 0 6.72354e+06 2956.33 0 0 15 6 9
16 41356.7 0 2.06648e+07 5330.22 0 0 2.38803e+07 8067.28 0 0 1.85211e+07 3505.51 0 0 10 4 6
17 3.43408 0 9.00893e+06 1525.01 0 0 4.83728e+06 1208.68 0 0 1.21377e+07 1762.26 0 0 14 6 8
18 228378 0 2.31587e+07 4999.61 0 0 2.64202e+07 7240.38 0 0 1.79402e+07 1414.39 0 0 13 8 5
19 8.39457 0 1.5551e+07 1336.72 0 0 1.97269e+07 1349.84 0 0 1.07785e+07 1321.73 0 0 15 8 7
20 9.04147 0 5.84948e+06 4856.91 0 0 2.4701e+06 8069.5 0 0 8.55298e+06 2286.84 0 0 9 4 5
21 7156.9 0 2.66152e+07 9297.06 0 0 3.03535e+07 9555.84 0 0 2.16307e+07 8952.03 0 0 7 4 3
22 1750.03 0 8.94377e+06 6385.33 0 0 268982 5276.68 0 0 2.41247e+07 8325.46 0 0 11 7 4
23 27.3954 0 1.40531e+07 9568.99 0 0 1.72896e+07 7736.98 0 0 9.89173e+06 11924.4 0 0 16 9 7
24 29.1765 0 1.31618e+06 335.23 0 0 2.1814e+06 302.897 0 0 18363.4 383.729 0 0 10 6 4
25 231.002 0 2.20008e+07 4571.26 0 0 2.17886e+07 8081.19 0 0 2.22129e+07 1061.34 0 0 16 8 8
26 22.4151 0 1.36604e+07 4750.02 0 0 2.24123e+07 3382.22 0 0 6.65887e+06 5844.26 0 0 9 4 5
27 9.04703 0 7.88401e+06 2555.24 0 0 1.37228e+07 244.258 0 0 3.50492e+06 4288.48 0 0 7 3 4
28 364551 0 9.86661e+06 2589.92 0 0 3.05789e+06 4279.57 0 0 1.3271e+07 1745.1 0 0 9 3 6
29 413.41 0 1.63827e+07 4858.51 0 0 1.97185e+07 11727.7 0 0 1.4953e+07 1914.57 0 0 10 3 7
30 90.6637 0 2.38292e+06 4787 0 0 2.30171e+06 984.383 0 0 2.46412e+06 8589.62 0 0 12 6 6
