t dt Rul5P PEP P2f Rib5P P2NADP NADPf NADH P2NADPH P1NADPH NAD Mgf Xul5P Phi MgATP Pyr MgAMP AMPf Gri2P Gri23P2f Sed7P ATPf Gri13P2 Lac GraP GlcA6P Glc6P E4P GSH DHAP Fru16P2 MgADP GSSG NADPHf Fru6P P1NADP Gri3P MgGri23P2 P1f Glcin ADPf
0 1e-08 0.0047 0.0109 0.01 0.014 0.01 0.01 0.0002 0.024 0.024 0.0653 0.8 0.0127 0.9992 1.4 0.084 0.01 0.01 0.0084 2.0601 0.0154 0.25 0.0005 1.6803 0.0061 0.025 0.0394 0.0063 3.1136 0.1492 0.0097 0.1 0.0004 0.004 0.0153 0.01 0.0658 0.5 0.01 4.5663 0.25
1e-08 5e-09 0.00470043 0.0109 0.00989887 0.014 0.0100994 0.00989504 0.000199053 0.0240017 0.0240396 0.0653009 0.79998 0.0127 0.999201 1.40002 0.0839999 0.00999991 0.010007 0.0084 2.0601 0.0154 0.249986 0.00049938 1.6803 0.00610079 0.0249998 0.0393997 0.0063 3.1136 0.1492 0.00969999 0.0999949 0.000400001 0.00395933 0.0153 0.0100049 0.0657998 0.500005 0.00995551 4.5663 0.249991
0.00033005 1.28e-06 0.00478034 0.0111424 0.00457204 0.0140164 0.0211986 6.16212e-05 0.000125408 0.0182293 0.0340868 0.0653746 0.612367 0.0128811 1.00211 1.5078 0.084701 0.00763868 0.0471698 0.00831217 1.97592 0.0153953 0.173822 0.000632676 1.67951 0.0062145 0.0249703 0.0394444 0.00630682 3.11354 0.151798 0.00945736 0.0979318 0.000428256 0.000264471 0.0154007 0.00815914 0.0628069 0.584262 0.00175405 4.56626 0.185637
0.00128397 1.28e-06 0.00482363 0.01109 0.00537123 0.0140763 0.025461 5.20054e-05 0.000148779 0.0131677 0.0395924 0.0653512 0.562515 0.0130064 1.00511 1.48987 0.0841415 0.00404051 0.0524763 0.00801088 1.92474 0.0153817 0.190112 0.000527926 1.6801 0.00625559 0.0249598 0.0399202 0.0063313 3.11341 0.153794 0.00931378 0.118002 0.000493437 0.000396285 0.0155824 0.00333052 0.0603739 0.63557 0.00107706 4.56617 0.165497
0.00234029 2.56e-06 0.00486448 0.0108447 0.00542338 0.0141593 0.0268585 5.04698e-05 0.000152039 0.0117181 0.0416283 0.065348 0.55843 0.0131185 1.00587 1.48671 0.0840475 0.00258823 0.0535638 0.00789039 1.9191 0.0153868 0.191669 0.00051405 1.68019 0.00623798 0.0249526 0.0404368 0.00633974 3.11328 0.153492 0.00923671 0.120963 0.000558917 0.00041147 0.0157844 0.00133311 0.0599006 0.641305 0.00103856 4.56611 0.164501
0.00348301 1.28e-06 0.00490325 0.0106912 0.00547496 0.0142577 0.0269698 4.89217e-05 0.00015268 0.0115552 0.0424024 0.0653473 0.558389 0.0132245 1.00626 1.48573 0.0840267 0.00207391 0.0540143 0.0078269 1.91831 0.0154153 0.191591 0.000509597 1.68021 0.00620916 0.0249495 0.0409692 0.00632783 3.11315 0.152804 0.00916415 0.121622 0.00062351 0.000427306 0.015991 0.000596368 0.0596453 0.642186 0.00100127 4.56606 0.164969
0.00460397 1.28e-06 0.00493809 0.0106153 0.00552145 0.0143568 0.0266221 4.75025e-05 0.000152818 0.0118564 0.0426783 0.0653472 0.558579 0.0133196 1.00652 1.48507 0.0840181 0.00191959 0.0542916 0.00778809 1.91808 0.0154605 0.191439 0.000506483 1.68021 0.00617971 0.0249506 0.0414602 0.00630253 3.11304 0.152083 0.00909676 0.121939 0.000680754 0.000442294 0.0161812 0.000353355 0.0594346 0.642497 0.00096835 4.56603 0.165345
0.00570541 1.28e-06 0.00497046 0.0105763 0.00556364 0.0144539 0.0261502 4.61931e-05 0.000152922 0.0122862 0.0427952 0.0653471 0.55876 0.0134078 1.00671 1.48447 0.084013 0.00187581 0.054521 0.00776113 1.91795 0.0155171 0.1913 0.000503849 1.68022 0.00615101 0.0249552 0.0419133 0.00627027 3.11294 0.151378 0.00903343 0.122194 0.000731322 0.000456512 0.0163566 0.000265737 0.059253 0.642704 0.000939065 4.56601 0.165643
0.00684461 1.28e-06 0.00500266 0.0105543 0.00560408 0.0145528 0.0256304 4.49181e-05 0.000152994 0.0127655 0.0428609 0.065347 0.558943 0.0134954 1.00687 1.48386 0.0840093 0.0018667 0.0547472 0.00774016 1.91783 0.0155848 0.191158 0.000501354 1.68022 0.00612213 0.0249631 0.0423533 0.00623318 3.11284 0.150668 0.0089708 0.122445 0.000777972 0.000470703 0.0165269 0.000227539 0.0590905 0.642889 0.000911545 4.56601 0.165926
0.00795341 2.56e-06 0.00503305 0.0105425 0.00564066 0.0146471 0.0251263 4.37469e-05 0.00015304 0.0132331 0.0429049 0.065347 0.559121 0.0135781 1.007 1.48326 0.0840066 0.00186933 0.0549672 0.0077242 1.91773 0.0156572 0.19102 0.00049909 1.68022 0.00609501 0.0249736 0.0427557 0.00619595 3.11276 0.15 0.00891273 0.122689 0.000818146 0.000484035 0.0166826 0.000207965 0.0589549 0.643062 0.000887124 4.56602 0.166196
0.00910861 1.28e-06 0.00506387 0.0105361 0.00567618 0.0147431 0.0246135 4.25927e-05 0.000153058 0.0137103 0.0429419 0.0653469 0.559311 0.0136619 1.00711 1.48262 0.0840044 0.00187601 0.0552001 0.00771095 1.91762 0.0157376 0.190874 0.000496858 1.68022 0.00606793 0.0249869 0.0431495 0.00615766 3.11269 0.149333 0.00885545 0.122948 0.00085484 0.000497439 0.0168351 0.000194272 0.0588343 0.643243 0.000863854 4.56604 0.166479
0.0103467 1.28e-06 0.00509602 0.0105334 0.00571163 0.0148434 0.0240816 4.14235e-05 0.000153067 0.0142067 0.0429762 0.0653469 0.559519 0.0137493 1.00722 1.48193 0.0840025 0.0018847 0.0554554 0.00769966 1.9175 0.0158279 0.190714 0.000494605 1.68022 0.00604029 0.0250037 0.0435449 0.00611836 3.11262 0.148651 0.0087979 0.123232 0.000888717 0.000511279 0.016988 0.000182733 0.0587255 0.643438 0.000841074 4.56607 0.166788
0.0115352 1.28e-06 0.00512603 0.0105333 0.00574339 0.0149372 0.0235886 4.0361e-05 0.000153072 0.014668 0.0430057 0.0653469 0.559724 0.0138308 1.0073 1.48124 0.084001 0.00189366 0.0557064 0.00769108 1.91737 0.0159174 0.190557 0.000492563 1.68022 0.00601512 0.025022 0.0438999 0.00608298 3.11257 0.14803 0.00874654 0.12351 0.000916333 0.000524077 0.0171254 0.000173225 0.0586386 0.643629 0.000821052 4.56611 0.16709
0.0127809 6.4e-07 0.00515658 0.0105349 0.00577454 0.0150329 0.0230898 3.93045e-05 0.000153076 0.0151357 0.0430339 0.0653469 0.559945 0.0139138 1.00738 1.48051 0.0839996 0.00190339 0.0559758 0.00768406 1.91723 0.0160132 0.190388 0.000490539 1.68022 0.00599018 0.025043 0.0442479 0.00604869 3.11252 0.147415 0.00869685 0.123807 0.000940554 0.000537004 0.0172599 0.000164336 0.0585639 0.643833 0.000801773 4.56617 0.167414
0.0140187 6.4e-07 0.00518598 0.0105378 0.00580354 0.0151253 0.0226116 3.83078e-05 0.000153081 0.0155849 0.0430595 0.0653469 0.560169 0.0139937 1.00745 1.47977 0.0839984 0.00191333 0.0562494 0.00767881 1.91709 0.0161097 0.190217 0.000488638 1.68022 0.00596686 0.0250655 0.0445705 0.00601758 3.11248 0.14684 0.00865169 0.124108 0.000960259 0.000549378 0.0173845 0.000156349 0.0585049 0.644039 0.000784148 4.56623 0.167742
0.0152731 1.28e-06 0.0052148 0.0105416 0.00583115 0.0152163 0.0221439 3.73471e-05 0.000153088 0.016025 0.0430834 0.0653469 0.560401 0.0140719 1.00751 1.47901 0.0839973 0.00192363 0.0565323 0.00767505 1.91694 0.0162082 0.19004 0.000486817 1.68022 0.00594469 0.0250897 0.0448749 0.00598905 3.11245 0.146293 0.00861018 0.124418 0.000976228 0.000561464 0.0175021 0.000148971 0.0584594 0.644252 0.000767665 4.56631 0.168081
0.0164936 6.4e-07 0.00524186 0.0105459 0.00585645 0.015302 0.0217044 3.64561e-05 0.000153099 0.0164392 0.0431048 0.0653469 0.560631 0.0141453 1.00755 1.47825 0.0839963 0.00193385 0.0568127 0.00767274 1.91678 0.0163043 0.189865 0.000485143 1.68022 0.00592452 0.0251144 0.0451506 0.00596409 3.11242 0.145795 0.00857384 0.124723 0.000988294 0.000572807 0.0176085 0.000142392 0.0584279 0.644463 0.000752813 4.56639 0.168415
