name ancestor val total_degree in_degree out_degree
Rul5P 0.00472192 0.00472192 3 1 2
PEP 0.0109396 0.0109396 2 1 1
P2f 0.000863632 0.000863632 2 2 0
Rib5P 0.0140053 0.0140053 3 1 2
P2NADP 0.00202414 0.00202414 1 0 1
NADPf 2.34376e-05 2.34376e-05 6 4 2
NADH 0.000156372 0.000156372 2 1 1
P2NADPH 0.0211122 0.0211122 1 0 1
P1NADPH 0.0239453 0.0239453 1 0 1
NAD 0.0653436 0.0653436 2 1 1
Mgf 0.555793 0.555793 4 4 0
Xul5P 0.0127437 0.0127437 3 1 2
Phi 0.999225 0.999225 4 3 1
MgATP 1.41771 1.41771 8 2 6
Pyr 0.08399 0.08399 4 2 2
MgAMP 0.00243877 0.00243877 2 1 1
AMPf 0.0722413 0.0722413 2 1 1
Gri2P 0.00844208 0.00844208 2 1 1
Gri23P2f 2.06123 2.06123 3 2 1
Sed7P 0.0154123 0.0154123 2 1 1
ATPf 0.183657 0.183657 1 1 0
Gri13P2 0.000480655 0.000480655 3 1 2
Lac 1.68031 1.68031 3 3 0
GraP 0.00606287 0.00606287 6 4 2
GlcA6P 0.0250543 0.0250543 2 1 1
Glc6P 0.0394896 0.0394896 3 1 2
E4P 0.00627176 0.00627176 2 1 1
GSH 3.11403 3.11403 2 1 1
DHAP 0.149233 0.149233 2 1 1
Fru16P2 0.0096835 0.0096835 2 1 1
MgADP 0.136822 0.136822 7 4 3
GSSG 0.000186743 0.000186743 2 1 1
NADPHf 0.00488917 0.00488917 6 4 2
Fru6P 0.0153444 0.0153444 4 3 1
P1NADP 5.73941e-06 5.73941e-06 1 0 1
Gri3P 0.0657639 0.0657639 3 2 1
MgGri23P2 0.687233 0.687233 1 0 1
P1f 4.89762e-05 4.89762e-05 2 2 0
Glcin 4.5668 4.5668 2 1 1
ADPf 0.187128 0.187128 2 2 0
