s nbfix evolrate
0.187128 39 1.82655e-18
0.0722412 62 6.27294e-17
0.183657 22 1.10287e-18
0.149232 79 1.47428e-16
0.006272 89 1.08321e-14
0.00968345 83 9.27222e-17
0.0153445 89 8.57019e-16
3.11403 0 0
0.000186743 0 0
0.0394898 89 7.65799e-16
0.0250542 50 2.57555e-17
4.5668 8 1.72696e-19
0.00606288 77 4.01834e-16
0.000480665 74 6.65905e-15
2.06123 23 1.97451e-18
0.00844202 80 2.71945e-16
0.0657634 81 3.48424e-16
1.68031 2 1.60896e-20
0.136822 71 7.86702e-18
0.00243878 86 6.0942e-16
1.41771 15 3.39763e-19
0.687234 2 4.2513e-20
0.555792 7 3.66744e-19
0.0653436 4 3.59689e-20
0.000156374 77 3.52883e-15
0.00488917 4 3.59291e-20
2.34377e-05 69 5.07308e-16
5.73942e-06 60 2.00086e-16
0.0239453 0 0
4.89762e-05 4 3.57655e-20
0.00202415 60 1.67569e-16
0.0211122 47 1.45901e-18
0.000863632 36 1.59457e-18
0.0109395 68 1.21896e-16
0.999224 31 6.72498e-18
0.0839899 29 1.14761e-17
0.0140049 84 6.89999e-15
0.00472183 89 3.0226e-15
0.0154129 82 9.49958e-15
0.0127434 89 2.71687e-15
