name ancestor val
kLDHv14 243.4 243.4
Vmaxv4 98.91 98.91
Vmaxv3 239 239
Vmaxv28 10000 10069.8
Vmaxv27 100 100.915
Vmaxv23 23.5 23.5
Vmaxv22 730 730
Vmaxv18 1575 1575
Vmaxv16 1380 1452.75
Vmaxv11 1500 1500
Vmaxv2 935 935
Vmaxv0 33.6 33.6
Vmax2v1 33.2 33.2
Vmax1v1 15.8 15.8
KiiGraPv4 0.176 0.17721
Keqv6 0.000192 0.000192
Keqv5 0.0407 0.0407
Keqv28 1 1
Keqv25 100000 95971.4
Keqv23 1.05 1.05
Keqv21 2.7 2.7
Keqv19 1.04 1.04
Keqv18 141.7 141.7
Keqv17 2000 2000
Keqv16 0.25 0.25
Keqv14 14181.8 14361.5
Keqv13 9090 9090
Keqv12 13790 13790
KX5Pv21 0.5 0.527759
K6v26 0.122 0.132828
KdAMP 16.64 16.64
KdADP 0.76 0.76
KFru16P2v12 0.005 0.005
KRu5Pv21 0.19 0.19
Keqv29 1 1
Kd3 1e-05 1e-05
Keqv26 1.2 1.2
KR5Pv25 0.57 0.57
KR5Pv22 2.2 2.3155
KPGA23v18 0.12 0.12
Vmaxv9 0.53 0.53
KPv6 3.9 3.9
KPEPv12 0.225 0.225
KNADPv19 0.07 0.07
Vmaxv24 27.2 27.2
KNADPv18 0.018 0.018
Vmaxv25 1.1 1.1
Vmaxv19 90 90
KNADPv17 0.00367 0.00367
KNADPHv17 0.00312 0.00312
K13P2Gv6 0.0035 0.0035827
KNADHv6 0.0083 0.00856093
KGSSGv19 0.0652 0.0652
KMoutv0 1.7 1.7
KDHAPv4 0.0364 0.0364
KMinv0 6.9 6.90621
KATPv18 0.154 0.154
KMgv1 1.03 1.03
Vmaxv13 2.8e+06 2.8e+06
KADPv16 0.11 0.107388
Kd4 0.0002 0.0002
K23P2Gv8 0.04 0.04
KMgATPv1 1.44 1.44
KMgATPMgv1 1.14 1.14
Keqv27 1 1
KMgADPv7 0.35 0.35
KMg23P2Gv1 3.44 3.42409
Vmaxv12 570 570
KMGlcv1 0.1 0.100423
Vmaxv21 4634 4634
KGraPv6 0.005 0.00497483
Keqv3 100000 100000
KAMPv3 0.033 0.033
KGlc6Pv2 0.182 0.182
KGlc6Pv1 0.0045 0.0045
KGSHv19 20 20
kATPasev15 1.68 1.68
Kv20 0.03 0.03
Keqv2 0.3925 0.3925
KFru6Pv2 0.071 0.071
KFru16P2v4 0.0071 0.0071
Keqv11 1.7 1.7
KDHAPv5 0.838 0.838
Vmaxv26 23.5 23.5364
K4v24 0.006095 0.00582208
KMgATPv3 0.068 0.068
KGraPv5 0.428 0.413623
KATPv16 0.09 0.0933393
KATPv12 3.39 3.39
Vmaxv29 10000 9926.98
KNADv6 0.05 0.05
kDPGMv8 76000 76000
Vmaxv5 5456.6 5478.26
KAMPv16 0.08 0.08
KNADPHv19 0.00852 0.00852
KRu5Pv22 0.78 0.78
KG6Pv17 0.0667 0.0667
K7v24 2.524 2.524
K7v23 48.8 50.214
Vmaxv10 2000 2000
Keqv10 0.145 0.145
KMgATPv7 0.48 0.48
Vmaxv17 162 162
KFru6Pv3 0.1 0.1
K7v26 0.215 0.214799
K1v24 0.00823 0.00823
KGraPv4 0.1906 0.1906
K6v24 0.4653 0.457988
Keqv7 1455 1455
Kd2 1e-05 1e-05
Keqv22 3 3
KNADPHv18 0.0045 0.0045
K6PG2v18 0.058 0.0584059
KMgADPv12 0.474 0.474
K4v26 0.0003 0.000305367
K5v23 0.41139 0.411825
KATPv25 0.03 0.0285051
Keqv0 1 1
Kd23P2G 1.667 1.667
K6PG1v18 0.01 0.01
Keqv24 1.05 1.05
Keqv1 3900 3900
K3v23 12.432 12.3204
KPEPv11 1 1
K3PGv10 5 5
K5v26 0.0287 0.0276791
K4v23 0.00496 0.00501047
K23P2Gv9 0.2 0.203165
KATPv17 0.749 0.749
K1v26 0.00184 0.00184697
K2v23 0.3055 0.3055
K3v24 0.1733 0.1733
Keqv9 100000 100000
Kd1 0.0002 0.0002
K5v24 0.8683 0.906608
K2PGv11 1 1
K3v26 0.0548 0.0554389
K2v24 0.04765 0.0483253
Keqv8 100000 100000
Keqv4 0.114 0.114
K2v26 0.3055 0.30645
Vmaxv6 4300 4300
KATPv3 0.01 0.01
KPGA23v17 2.289 2.28654
K2PGv10 1 1
K1v23 0.4177 0.427388
Vmaxv7 5000 5000
K6v23 0.00774 0.00839026
KdATP 0.072 0.072
K3PGv7 1.2 1.17581
KiGraPv4 0.0572 0.0572
K13P2Gv7 0.002 0.002
KMgv3 0.44 0.44
K23P2Gv1 2.7 2.72143
