s nbfix evolrate
13997.2 3.07 1.15977e-09
863.454 3.07 3.00623e-10
5789.22 3.07 2.06287e-08
1.02763 3.07 3.807e-10
1834.35 3.07 1.8349e-10
487976 3.07 4.5887e-08
38.3855 3.07 1.60476e-10
274.198 3.07 5.82558e-09
4949.22 3.07 2.39689e-09
0.722324 3.07 1.43755e-08
47.8574 3.07 1.00712e-09
455718 3.07 4.13991e-09
12.5241 3.07 1.56224e-09
29153.7 3.07 2.39262e-09
381.039 3.07 3.47974e-09
41356.7 2.94 1.63466e-13
3.4353 3.07 1.51566e-09
228775 3.07 3.59555e-08
8.39553 3.07 4.35904e-10
9.04282 3.07 1.50612e-09
7159 3.07 1.19515e-09
1750.5 3.07 3.27528e-08
27.4 3.07 2.26006e-09
29.1802 3.07 1.8341e-09
231.04 3.07 1.70856e-09
22.4104 3.07 8.94127e-09
9.05106 3.07 3.47435e-09
364693 3.07 1.8203e-09
413.412 2.81 1.46658e-13
90.7047 3.07 3.7521e-09
