g 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
100 9.51501e-05 0.000238075 0.000287681 1.58471e-05 6.85807e-06 6.36107e-05 1.36879e-05 0 0.000114758 4.20599e-06 8.95901e-07 0 4.69807e-05 0.000360356 6.03665e-05 3.9456e-05 3.48924e-05 0.000426966 0.000124323 9.76906e-05 3.84044e-05 0.00018106 0.000217939 1.67036e-06 0.000697242 2.78844e-06 0.000668257 5.84023e-05 0 5.59804e-05 1.89018e-05 1.24385e-06 1.41007e-05 1.90279e-05 1.47915e-05 1.88367e-05 5.54869e-05 8.00311e-05 1.84067e-06 3.13434e-05
200 5.64663e-05 1.10735e-05 0.000197857 7.31817e-05 3.69421e-05 7.68127e-05 1.96501e-05 0 8.98672e-05 6.19328e-06 1.08645e-06 1.83654e-07 0.0011001 0.000493485 1.19525e-06 3.29742e-05 5.21809e-05 0.000330733 7.39991e-05 0.000108667 2.52743e-05 3.59018e-06 6.21475e-05 2.64482e-06 0.00110542 5.94025e-06 0.00139249 0.000130998 1.09569e-06 0.000529658 3.36108e-05 2.25387e-06 2.43496e-05 3.99134e-05 3.70037e-06 3.06614e-05 2.27148e-05 3.30458e-05 1.11389e-05 1.39069e-05
300 8.15709e-05 0.000162818 0.00127263 8.98374e-06 3.18721e-06 8.79266e-05 0.000594624 0 0.000106197 0.000234034 1.09216e-06 3.08032e-07 3.39732e-05 0.000324435 7.45537e-06 8.04548e-05 1.70681e-05 5.14045e-07 9.61238e-05 2.58857e-05 0.000162226 2.23551e-05 0.000387453 1.71968e-06 0.000718283 2.62595e-06 0.000166102 0.000165255 5.14516e-08 2.60641e-06 1.28372e-05 8.00441e-07 1.05201e-05 6.22612e-05 1.14741e-06 0.000834482 6.47502e-07 2.32845e-05 2.84619e-06 9.48773e-06
400 0.000234472 0.000590664 1.05269e-05 8.83334e-05 3.97627e-05 8.51033e-05 0.000135193 0 3.59633e-05 5.30557e-05 8.341e-07 2.3017e-07 0.00132314 0.000632964 1.86845e-07 0.000144949 6.53624e-05 1.64756e-06 0.000306196 3.51923e-05 2.84234e-05 5.01525e-07 9.67299e-06 2.66319e-06 0.0011129 2.27247e-06 0.000793944 8.41905e-05 3.3683e-08 2.11096e-06 1.94073e-05 1.28719e-06 1.39855e-05 4.4582e-05 1.76822e-05 0.000180256 1.84569e-05 2.69308e-05 1.03187e-05 1.23895e-05
500 3.99898e-05 3.82553e-05 0.000116202 2.63882e-05 2.45006e-05 0.000125938 0.000286351 0 9.926e-05 0.000112477 7.17434e-07 2.43827e-07 7.6842e-05 0.000549876 2.9898e-06 4.59766e-05 5.47639e-05 0.00108323 5.48884e-05 4.16132e-06 1.50509e-05 8.9744e-06 3.80254e-05 3.13439e-06 0.0013109 0.000113152 0.000535236 0.000112019 1.96245e-06 0.000947782 1.45838e-05 2.68717e-05 0.000631041 6.40733e-05 6.14063e-06 0.000412425 1.45732e-05 0.000634876 9.28466e-06 0.000250268
600 0.000171364 0.000413121 6.22132e-05 1.32778e-05 3.8174e-06 8.36472e-05 0.000489179 0 8.93817e-05 0.000192339 4.36081e-07 5.53738e-08 4.31079e-05 0.000664583 3.87453e-05 0.000165175 4.25619e-05 8.04022e-07 0.000223202 2.5388e-05 2.13816e-05 0.00011621 0.000130409 2.16289e-06 0.000904082 4.50938e-06 5.75561e-05 4.86552e-05 1.04689e-06 0.000510217 4.48456e-06 3.08199e-07 5.32951e-06 5.37019e-05 5.96973e-06 1.637e-05 1.82176e-05 2.63027e-05 2.48597e-06 1.0496e-05
700 4.1081e-05 2.61924e-05 0.00045268 5.65153e-06 1.03168e-05 0.000100249 5.57569e-05 3.02641e-08 7.58757e-05 1.53485e-05 7.46459e-07 1.33102e-07 3.04351e-05 0.000315729 2.66629e-06 0.00025741 3.61069e-05 0.000207666 5.05844e-05 9.38821e-06 5.76474e-05 7.99313e-06 0.000138132 1.63869e-06 0.000684942 5.46414e-06 0.000119525 0.00018545 1.22438e-06 0.000592311 9.2136e-06 6.17483e-07 8.79348e-06 9.28625e-05 1.05581e-06 0.000644441 1.50886e-05 0.000639541 2.85483e-06 0.000252327
800 8.77862e-06 1.29277e-05 0.000325235 2.25882e-05 2.37079e-05 0.000101288 0.000492438 0 2.65529e-05 0.000193814 3.00555e-07 1.12275e-07 6.34163e-05 0.000451032 1.92064e-06 0.000142767 4.83693e-05 0.000541572 2.0019e-05 7.38987e-05 4.14659e-05 5.76463e-06 9.88897e-05 2.51769e-06 0.00105209 0.000100726 0.000474612 6.40555e-05 1.17215e-06 0.000568464 1.1513e-05 2.39493e-05 0.000562509 0.000134143 3.58418e-06 2.53927e-05 1.86023e-05 0.000675852 9.71635e-06 0.000266787
900 5.94996e-06 7.74096e-06 0.000191348 2.23647e-05 9.21124e-06 0.00010086 0.000177716 0 7.08491e-05 6.99744e-05 9.73866e-07 0 0.000296204 0.000216444 2.5344e-05 0.00013798 2.10389e-05 2.66044e-07 6.78433e-06 9.46104e-05 2.43733e-05 7.60131e-05 0.000101962 1.49891e-06 0.00062691 0.000183255 0.00120914 0.000102771 3.84783e-07 0.000182931 2.82837e-05 4.36731e-05 0.00102394 3.46935e-05 1.2567e-05 5.81471e-06 2.81362e-05 0.000577503 2.65274e-06 0.000227539
1000 7.00438e-05 0.000178069 0.000261791 9.46397e-05 4.16014e-05 0.00010274 0.000685444 0 7.7626e-05 0.000270011 6.26438e-07 1.85959e-07 0.00136786 0.00165962 3.87984e-06 0.000108345 9.92355e-05 2.23958e-06 9.90322e-05 6.11474e-05 3.46147e-05 1.16373e-05 8.04757e-05 4.19082e-06 0.00175127 1.86243e-06 0.000103278 3.64291e-05 1.94954e-07 0.000101591 8.10242e-06 5.09929e-07 6.63798e-06 0.000102025 6.09705e-06 0.000184693 3.50774e-05 5.74319e-05 1.13452e-05 2.35981e-05
