g c_opt mean_c var_c mean_w var_w best_w nb_nodes
100 16.2509 16.2508 5.30991e-07 0.895033 0.0920838 1 101001
200 16.2509 16.2509 3.10817e-07 0.870711 0.110396 1 106988
300 16.2509 16.2509 5.11268e-08 0.886798 0.0992124 0 108525
400 16.2509 16.2509 5.70878e-10 0.885492 0.0971879 0 108867
500 16.2509 16.2508 3.32258e-06 0.886319 0.0972152 0 109914
600 16.2509 16.2509 5.28928e-09 0.895476 0.0893958 0 109307
700 16.2509 16.2508 1.30757e-07 0.863795 0.115518 0 109648
800 16.2509 16.2508 8.33237e-07 0.881971 0.100144 0 111185
900 16.2509 16.2509 3.37434e-09 0.876715 0.102175 0 111113
1000 16.2509 16.2509 2.25771e-09 0.875588 0.102617 0 111443
1100 16.2509 16.2508 2.15101e-06 0.878422 0.0959671 0 110524
1200 16.2509 16.2508 2.00964e-09 0.876087 0.101952 0 110779
1300 16.2509 16.2508 3.51336e-07 0.868271 0.109052 0 111339
1400 16.2509 16.2509 1.71524e-08 0.878087 0.103279 0 111399
1500 16.2509 16.2509 5.09374e-10 0.87777 0.103079 0 110168
1600 16.2509 16.2508 6.52147e-07 0.869489 0.105786 0 111005
1700 16.2509 16.2509 1.00635e-06 0.877821 0.1024 0 111165
1800 16.2509 16.2508 2.88268e-08 0.883208 0.0986464 0 111546
1900 16.2509 16.2509 5.59282e-09 0.874583 0.106711 0 111259
2000 16.2509 16.2508 2.79604e-06 0.898812 0.0879575 0 111243
2100 16.2509 16.2508 2.14408e-09 0.872578 0.105315 0 111188
2200 16.2509 16.2509 4.00178e-11 0.88165 0.0991732 0 111185
2300 16.2509 16.2508 1.56668e-07 0.875459 0.104919 0 111385
2400 16.2509 16.2508 6.69265e-08 0.867879 0.109056 0 110992
2500 16.2509 16.2509 2.01222e-06 0.859086 0.116336 0 112461
2600 16.2509 16.2509 3.69082e-07 0.869138 0.110015 0 113395
2700 16.2509 16.2508 1.80648e-09 0.860755 0.11582 0 112694
2800 16.2509 16.2508 8.35896e-07 0.877011 0.103587 0 113122
2900 16.2509 16.2508 2.82764e-07 0.880566 0.1009 0 111798
3000 16.2509 16.2509 2.82588e-07 0.899448 0.0864025 0 112743
3100 16.2509 16.2508 2.1109e-06 0.869951 0.108187 0 113493
3200 16.2509 16.2509 8.76347e-07 0.875819 0.100735 0 114839
3300 16.2509 16.2509 7.07726e-07 0.863549 0.109904 0 115224
3400 16.2509 16.2509 1.28497e-07 0.876617 0.103959 0 113655
