g 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
100 0.187127 0.0722415 0.183658 0.149233 0.00627176 0.00968349 0.0153445 3.11403 0.000186744 0.0394896 0.0250543 4.5668 0.00606287 0.000480654 2.06124 0.00844209 0.0657639 1.68029 0.136822 0.00243878 1.41771 0.68723 0.555797 0.0653436 0.000156376 0.00488917 2.34368e-05 5.7394e-06 0.0239453 4.89761e-05 0.00202415 0.0211122 0.000863632 0.0109396 0.999226 0.08399 0.0140053 0.00472191 0.0154123 0.0127437
200 0.187128 0.0722413 0.183658 0.149233 0.00627176 0.00968349 0.0153445 3.11403 0.000186743 0.0394896 0.0250543 4.5668 0.00606288 0.000480655 2.06123 0.00844207 0.065764 1.68032 0.136822 0.00243878 1.41771 0.687234 0.555794 0.0653436 0.000156372 0.00488917 2.34366e-05 5.73939e-06 0.0239453 4.89755e-05 0.00202415 0.0211122 0.000863632 0.0109396 0.999225 0.08399 0.0140053 0.00472192 0.0154123 0.0127437
300 0.187128 0.0722411 0.183664 0.149233 0.00627175 0.0096835 0.0153442 3.11403 0.000186743 0.0394899 0.0250543 4.5668 0.00606286 0.000480652 2.06123 0.00844208 0.065764 1.68031 0.136822 0.00243876 1.41771 0.687234 0.555798 0.0653436 0.000156368 0.00488917 2.34377e-05 5.73939e-06 0.0239453 4.89762e-05 0.00202415 0.0211122 0.000863632 0.0109396 0.999225 0.0839921 0.0140053 0.00472192 0.0154123 0.0127437
400 0.187126 0.0722427 0.183657 0.149234 0.00627175 0.00968348 0.0153445 3.11403 0.000186743 0.0394895 0.0250543 4.5668 0.00606262 0.000480646 2.06123 0.00844206 0.0657638 1.68031 0.13682 0.00243877 1.41771 0.687233 0.555793 0.0653436 0.000156374 0.00488917 2.34376e-05 5.73942e-06 0.0239453 4.89762e-05 0.00202414 0.0211122 0.000863632 0.0109396 0.999225 0.0839896 0.0140053 0.00472191 0.0154123 0.0127437
500 0.187128 0.0722414 0.183658 0.149233 0.00627175 0.0096835 0.0153446 3.11403 0.000186742 0.0394894 0.0250543 4.5668 0.00606284 0.000480671 2.06123 0.00844207 0.0657641 1.68021 0.136821 0.00243877 1.41771 0.687234 0.555793 0.0653436 0.000156377 0.00488919 2.34372e-05 5.73938e-06 0.0239453 4.89745e-05 0.00202415 0.0211122 0.00086365 0.0109396 0.999225 0.0839892 0.0140053 0.00472192 0.0154123 0.0127437
600 0.187129 0.0722404 0.183657 0.149233 0.00627176 0.00968347 0.0153447 3.11403 0.000186744 0.0394893 0.0250543 4.5668 0.00606289 0.000480658 2.06124 0.00844202 0.0657639 1.68031 0.136822 0.00243877 1.41771 0.687231 0.555795 0.0653436 0.000156365 0.00488917 2.34376e-05 5.73941e-06 0.0239453 4.89757e-05 0.00202414 0.0211122 0.000863632 0.0109396 0.999225 0.0839901 0.0140053 0.00472192 0.0154123 0.0127437
700 0.187128 0.0722413 0.183655 0.149233 0.00627176 0.00968356 0.0153444 3.11403 0.000186743 0.0394895 0.0250543 4.5668 0.00606288 0.000480658 2.06123 0.008442 0.065764 1.68029 0.136822 0.00243877 1.41772 0.687233 0.55579 0.0653436 0.000156377 0.00488917 2.34375e-05 5.73944e-06 0.0239453 4.89752e-05 0.00202414 0.0211122 0.000863632 0.0109396 0.999225 0.0839883 0.0140053 0.00472202 0.0154123 0.0127436
800 0.187128 0.0722413 0.183658 0.149233 0.00627176 0.00968346 0.0153442 3.11403 0.000186743 0.0394898 0.0250543 4.5668 0.00606288 0.00048066 2.06123 0.00844212 0.065764 1.6803 0.136822 0.00243878 1.41771 0.687233 0.555793 0.0653436 0.000156375 0.00488919 2.34373e-05 5.7394e-06 0.0239453 4.89748e-05 0.00202415 0.0211122 0.000863648 0.0109395 0.999225 0.0839899 0.0140053 0.004722 0.0154123 0.0127436
900 0.187128 0.0722414 0.183658 0.149233 0.00627178 0.00968349 0.0153444 3.11403 0.000186743 0.0394897 0.0250543 4.5668 0.00606296 0.000480651 2.06123 0.00844211 0.065764 1.68031 0.136822 0.00243878 1.41771 0.687232 0.555795 0.0653436 0.000156367 0.00488913 2.34384e-05 5.73943e-06 0.0239453 4.89765e-05 0.00202414 0.0211123 0.000863595 0.0109396 0.999225 0.08399 0.0140053 0.004722 0.0154123 0.0127436
1000 0.187127 0.0722418 0.183659 0.149234 0.00627178 0.00968349 0.0153443 3.11403 0.000186744 0.0394898 0.0250543 4.5668 0.00606264 0.000480675 2.06123 0.0084421 0.0657636 1.68031 0.136822 0.00243878 1.41771 0.687233 0.555794 0.0653436 0.000156357 0.00488917 2.34375e-05 5.7394e-06 0.0239453 4.8976e-05 0.00202414 0.0211122 0.000863632 0.0109396 0.999225 0.0839907 0.0140053 0.00472194 0.0154123 0.0127437
