g 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
100 3.17025e-10 2.95803e-10 2.79152e-09 5.59283e-12 1.85004e-15 3.79423e-13 4.41139e-14 0 4.59262e-16 2.75869e-14 5.03829e-16 0 8.11328e-14 3.00005e-14 1.54827e-08 1.1095e-13 5.26547e-12 5.14703e-07 2.89342e-10 5.67609e-14 2.96442e-09 1.54827e-08 1.46724e-08 1.19132e-14 1.18879e-14 1.85863e-16 2.45293e-16 1.12355e-19 0 7.51694e-18 1.46383e-15 6.89607e-16 1.483e-16 4.33295e-14 2.18449e-10 2.50302e-12 6.03902e-13 1.42808e-13 8.04803e-16 1.59544e-13
200 1.11649e-10 6.39943e-13 1.32046e-09 1.19271e-10 5.36812e-14 5.53262e-13 9.09144e-14 0 2.81638e-16 5.98146e-14 7.40944e-16 7.03437e-13 4.44862e-11 5.6262e-14 6.06981e-12 7.74899e-14 1.1776e-11 3.08843e-07 1.02509e-10 7.02326e-14 1.28391e-09 6.08752e-12 1.19309e-09 2.98676e-14 2.98799e-14 8.43489e-16 1.06506e-15 5.65272e-19 6.8836e-16 6.72897e-16 4.62853e-15 2.26425e-15 4.42222e-16 1.9065e-13 1.36715e-11 6.63189e-12 1.01205e-13 2.43483e-14 2.94729e-14 3.14088e-14
300 2.32995e-10 1.38348e-10 5.46326e-08 1.7974e-12 3.99576e-16 7.24946e-13 8.32474e-11 0 3.9329e-16 8.54138e-11 7.4875e-16 1.97886e-12 4.24258e-14 2.43174e-14 2.36152e-10 4.61321e-13 1.25992e-12 7.4607e-13 1.72972e-10 3.98528e-15 5.28952e-08 2.36027e-10 4.63738e-08 1.26271e-14 1.2615e-14 1.64833e-16 1.51558e-17 8.9958e-19 1.51788e-18 1.6295e-20 6.75192e-16 2.85579e-16 8.25456e-17 4.6391e-13 1.3145e-12 4.91259e-09 8.22367e-17 1.20885e-14 1.92427e-15 1.46189e-14
400 1.9251e-09 1.82082e-09 3.73782e-12 1.73773e-10 6.21911e-14 6.79134e-13 4.30346e-12 0 4.51033e-17 4.38962e-12 4.36717e-16 1.10489e-12 6.43478e-11 9.2557e-14 1.48326e-13 1.49737e-12 1.84769e-11 7.66409e-12 1.75509e-09 7.36607e-15 1.62379e-09 1.18794e-13 2.89033e-11 3.02839e-14 3.0286e-14 1.23443e-16 3.46262e-16 2.33487e-19 6.50521e-19 1.06888e-20 1.54317e-15 7.38504e-16 1.45886e-16 2.3786e-13 3.12176e-10 2.29208e-10 6.68191e-14 1.6171e-14 2.5292e-14 2.49284e-14
500 5.59982e-11 7.63759e-12 4.55456e-10 1.55077e-11 2.36119e-14 1.48723e-12 1.93067e-11 0 3.43585e-16 1.97284e-11 3.23092e-16 1.2399e-12 2.17045e-13 6.98594e-14 3.79785e-11 1.50651e-13 1.29708e-11 3.31259e-06 5.63987e-11 1.02992e-16 4.55304e-10 3.80382e-11 4.46656e-10 4.19482e-14 4.20228e-14 3.06053e-13 1.57363e-16 4.13346e-19 2.20819e-15 2.15455e-15 8.71409e-16 3.21852e-13 2.97023e-13 4.9131e-13 3.76489e-11 1.19988e-09 4.16578e-14 8.98702e-12 2.04771e-14 1.01719e-11
600 1.0283e-09 8.90666e-10 1.30551e-10 3.92632e-12 5.73211e-16 6.56093e-13 5.63446e-11 0 2.78604e-16 5.76894e-11 1.19371e-16 6.39488e-14 6.83082e-14 1.0204e-13 6.37812e-09 1.94438e-12 7.83459e-12 1.82521e-12 9.32634e-10 3.83353e-15 9.18873e-10 6.37808e-09 5.25343e-09 1.99745e-14 1.99844e-14 4.86075e-16 1.81974e-18 7.79817e-20 6.28404e-16 6.24412e-16 8.23994e-17 4.23381e-17 2.11851e-17 3.4513e-13 3.55825e-11 1.89039e-12 6.50975e-14 1.54254e-14 1.46801e-15 1.7891e-14
700 5.90961e-11 3.58033e-12 6.91171e-09 7.11316e-13 4.18671e-15 9.42384e-13 7.31978e-13 8.88178e-15 2.00767e-16 3.67364e-13 3.49764e-16 3.69482e-13 3.40493e-14 2.30303e-14 3.02043e-11 4.72218e-12 5.6384e-12 1.21759e-07 4.79006e-11 5.24211e-16 6.67941e-09 3.01746e-11 5.89402e-09 1.14657e-14 1.14724e-14 7.13696e-16 7.84763e-18 1.1329e-18 8.59555e-16 8.41497e-16 3.4781e-16 1.69949e-16 5.76739e-17 1.03201e-12 1.113e-12 2.92957e-09 4.46565e-14 9.11994e-12 1.93595e-15 1.03398e-11
800 2.69854e-12 8.722e-13 3.56792e-09 1.1363e-11 2.21087e-14 9.62001e-13 5.70943e-11 0 2.45875e-17 5.8579e-11 5.67038e-17 2.62901e-13 1.47829e-13 4.69993e-14 1.56728e-11 1.45265e-12 1.01185e-11 8.28107e-07 7.50232e-12 3.24801e-14 3.45589e-09 1.56947e-11 3.02084e-09 2.70652e-14 2.7067e-14 2.42523e-13 1.23735e-16 1.35159e-19 7.87781e-16 7.75089e-16 5.4308e-16 2.55654e-13 2.36011e-13 2.15345e-12 1.28264e-11 4.54855e-12 6.78766e-14 1.01849e-11 2.24254e-14 1.15589e-11
900 1.23966e-12 3.12724e-13 1.235e-09 1.11393e-11 3.33747e-15 9.53903e-13 7.43616e-12 0 1.75048e-16 7.63565e-12 5.95335e-16 0 3.22517e-12 1.08231e-14 2.72902e-09 1.35686e-12 1.91435e-12 1.9984e-13 8.61637e-13 5.32383e-14 1.194e-09 2.72888e-09 3.21152e-09 9.59302e-15 9.60954e-15 8.02745e-13 8.03175e-16 3.47916e-19 8.4893e-17 8.02695e-17 3.27759e-15 8.50155e-13 7.8194e-13 1.44045e-13 1.57685e-10 2.38512e-13 1.5528e-13 7.43635e-12 1.67157e-15 8.40806e-12
1000 1.71796e-10 1.65483e-10 2.3117e-09 1.99471e-10 6.80764e-14 9.89791e-13 1.10621e-10 0 2.10139e-16 1.13693e-10 2.46331e-16 7.21201e-13 6.87709e-11 6.36388e-13 6.3956e-11 8.36607e-13 4.25898e-11 1.41616e-11 1.83596e-10 2.22384e-14 2.40823e-09 6.39606e-11 2.00059e-09 7.49904e-14 7.49788e-14 8.29144e-17 5.85921e-18 4.37149e-20 2.17925e-17 2.4756e-17 2.68975e-16 1.15901e-16 3.28647e-17 1.2457e-12 3.71164e-11 2.40637e-10 2.41344e-13 7.35438e-14 3.05745e-14 9.04366e-14
