name ancestor val total_degree in_degree out_degree
Rul5P 0.00472192 0.00472192 4 2 2
PEP 0.0109396 0.0109396 3 1 2
P2f 0.000863632 0.000863632 2 2 0
Rib5P 0.0140053 0.0140053 5 1 4
P2NADP 0.00202414 0.00202414 2 0 2
NADPf 2.34376e-05 2.34376e-05 8 5 3
NADH 0.000156372 0.000156372 5 3 2
P2NADPH 0.0211122 0.0211122 2 0 2
P1NADPH 0.0239453 0.0239453 2 0 2
NAD 0.0653436 0.0653436 4 2 2
Mgf 0.555793 0.555793 4 4 0
Xul5P 0.0127437 0.0127437 4 1 3
Phi 0.999225 0.999225 5 3 2
MgATP 1.41771 1.41771 12 3 9
Pyr 0.08399 0.08399 7 3 4
MgAMP 0.00243877 0.00243877 4 2 2
AMPf 0.0722413 0.0722413 3 1 2
Gri2P 0.00844208 0.00844208 2 1 1
Gri23P2f 2.06123 2.06123 4 2 2
Sed7P 0.0154123 0.0154123 4 2 2
ATPf 0.183657 0.183657 1 1 0
Gri13P2 0.000480655 0.000480655 6 3 3
Lac 1.68031 1.68031 5 5 0
GraP 0.00606287 0.00606287 9 5 4
GlcA6P 0.0250543 0.0250543 4 2 2
Glc6P 0.0394896 0.0394896 5 2 3
E4P 0.00627176 0.00627176 4 2 2
GSH 3.11403 3.11403 3 2 1
DHAP 0.149233 0.149233 2 1 1
Fru16P2 0.0096835 0.0096835 4 2 2
MgADP 0.136822 0.136822 9 4 5
GSSG 0.000186743 0.000186743 3 1 2
NADPHf 0.00488917 0.00488917 8 5 3
Fru6P 0.0153444 0.0153444 6 5 1
P1NADP 5.73941e-06 5.73941e-06 2 0 2
Gri3P 0.0657639 0.0657639 4 3 1
MgGri23P2 0.687233 0.687233 2 0 2
P1f 4.89762e-05 4.89762e-05 2 2 0
Glcin 4.5668 4.5668 3 1 2
ADPf 0.187128 0.187128 3 3 0
