name Rul5P PEP P2f Rib5P P2NADP NADPf NADH P2NADPH P1NADPH NAD Mgf Xul5P Phi MgATP Pyr MgAMP AMPf Gri2P Gri23P2f Sed7P ATPf Gri13P2 Lac GraP GlcA6P Glc6P E4P GSH DHAP Fru16P2 MgADP GSSG NADPHf Fru6P P1NADP Gri3P MgGri23P2 P1f Glcin ADPf
kLDHv14 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Vmaxv4 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Vmaxv3 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Vmaxv28 0.004722 0.0109394 0.000863632 0.0140055 0.00202415 2.34376e-05 0.000156372 0.0211122 0.0239453 0.0653436 0.555792 0.0127439 0.999222 1.41772 0.08399 0.00243868 0.0722387 0.00844198 2.06123 0.0154122 0.183658 0.000480661 1.6803 0.00606296 0.0250542 0.0394903 0.00627177 3.11403 0.149235 0.00968364 0.136819 0.000186743 0.00488917 0.0153447 5.73942e-06 0.0657633 0.687231 4.89762e-05 4.5668 0.187125
Vmaxv27 0.00472303 0.0109369 0.000863644 0.0140086 0.00202376 2.34327e-05 0.00015637 0.0211126 0.0239453 0.0653436 0.555795 0.0127467 0.999006 1.41775 0.08399 0.00243829 0.0722267 0.0084402 2.06113 0.0154188 0.183661 0.000480607 1.68031 0.00606352 0.0250592 0.0395024 0.00627299 3.11403 0.149249 0.00968508 0.13681 0.000186743 0.00488919 0.0153495 5.73821e-06 0.06575 0.687204 4.8976e-05 4.56682 0.187111
Vmaxv23 0.00378807 0.010922 0.000864535 0.0112146 0.00199578 2.30852e-05 0.000156323 0.0211397 0.0239454 0.0653437 0.555439 0.010222 0.999357 1.41874 0.08399 0.00241793 0.071814 0.00842352 2.06178 0.0198213 0.183907 0.000481196 1.6803 0.0060667 0.0240332 0.0399128 0.00797676 3.11403 0.149326 0.00968653 0.136425 0.000186699 0.00489041 0.0155111 5.65166e-06 0.0656049 0.686979 4.89639e-05 4.56873 0.186698
Vmaxv22 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Vmaxv18 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Vmaxv16 0.00472193 0.0109395 0.000863632 0.0140053 0.00202416 2.34378e-05 0.000156372 0.0211122 0.0239453 0.0653436 0.555792 0.0127437 0.999225 1.41772 0.08399 0.00243872 0.07224 0.00844203 2.06123 0.015412 0.183658 0.000480657 1.68031 0.00606289 0.025054 0.0394897 0.00627169 3.11403 0.149234 0.00968348 0.136821 0.000186743 0.00488917 0.0153445 5.73946e-06 0.0657635 0.687233 4.89762e-05 4.56679 0.187126
Vmaxv11 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Vmaxv2 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Vmaxv0 0.00472578 0.0109363 0.000863712 0.0140168 0.00202163 2.34063e-05 0.000156377 0.0211147 0.0239453 0.0653436 0.555751 0.0127541 0.999215 1.41782 0.08399 0.00243704 0.0721944 0.00844082 2.06132 0.0154535 0.183685 0.00048081 1.68031 0.0060651 0.0250905 0.0395621 0.00627973 3.11403 0.149288 0.00969073 0.136777 0.000186739 0.00488928 0.0153727 5.73163e-06 0.0657579 0.68721 4.89751e-05 4.97527 0.187081
Vmax2v1 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Vmax1v1 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
KiiGraPv4 0.00472186 0.0109405 0.000863634 0.0140051 0.00202409 2.3437e-05 0.000156372 0.0211123 0.0239453 0.0653436 0.555795 0.0127435 0.999225 1.41771 0.08399 0.00243884 0.0722434 0.00844239 2.06123 0.0154134 0.183656 0.000480656 1.68031 0.00606287 0.0250551 0.0394897 0.00627202 3.11403 0.149233 0.0096817 0.136824 0.000186743 0.00488917 0.0153445 5.73926e-06 0.0657653 0.687234 4.89761e-05 4.5668 0.187129
Keqv6 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Keqv5 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Keqv28 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Keqv25 0.00472192 0.0109396 0.000863632 0.0140053 0.00202414 2.34376e-05 0.000156372 0.0211122 0.0239453 0.0653436 0.555793 0.0127437 0.999225 1.41771 0.08399 0.00243877 0.0722413 0.00844207 2.06123 0.0154123 0.183657 0.000480655 1.68031 0.00606287 0.0250543 0.0394896 0.00627176 3.11403 0.149233 0.0096835 0.136822 0.000186743 0.00488917 0.0153444 5.73942e-06 0.0657639 0.687233 4.89762e-05 4.5668 0.187128
Keqv23 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Keqv21 0.0247415 0.0116637 0.000828356 0.0734521 0.00312197 3.77271e-05 0.000157438 0.0200497 0.0239412 0.0653426 0.569339 2.00359e-06 0.996348 1.37836 0.0839899 0.00317992 0.0894215 0.00904118 2.04149 0.0369896 0.174314 0.000452225 1.68033 0.00576711 0.0329272 0.0254567 0.0253783 3.11402 0.141998 0.00906886 0.151919 0.000188514 0.00484009 0.00980913 9.31983e-06 0.0705554 0.697205 4.94643e-05 4.50045 0.202808
Keqv19 0.00472194 0.0109396 0.000863632 0.0140053 0.00202416 2.34377e-05 0.000156372 0.0211122 0.0239453 0.0653436 0.555793 0.0127437 0.999225 1.41771 0.08399 0.00243877 0.0722413 0.00844207 2.06123 0.0154123 0.183657 0.000480655 1.68031 0.00606287 0.0250542 0.0394896 0.00627174 3.11403 0.149233 0.0096835 0.136822 0.000185871 0.00488917 0.0153444 5.73945e-06 0.0657639 0.687233 4.89762e-05 4.5668 0.187128
Keqv18 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Keqv17 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Keqv16 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Keqv14 0.00472179 0.0109396 0.000863647 0.0140049 0.00202369 2.34319e-05 0.000156372 0.0211127 0.0239453 0.0653436 0.555793 0.0127433 0.999225 1.41771 0.08399 0.00243876 0.0722413 0.00844207 2.06123 0.0154126 0.183657 0.000480655 1.68031 0.00606287 0.0250545 0.0394897 0.00627188 3.11403 0.149233 0.00968351 0.136822 0.000186743 0.00488919 0.0153445 5.73801e-06 0.0657639 0.687233 4.8976e-05 4.5668 0.187128
