name Rul5P PEP P2f Rib5P P2NADP NADPf NADH P2NADPH P1NADPH NAD Mgf Xul5P Phi MgATP Pyr MgAMP AMPf Gri2P Gri23P2f Sed7P ATPf Gri13P2 Lac GraP GlcA6P Glc6P E4P GSH DHAP Fru16P2 MgADP GSSG NADPHf Fru6P P1NADP Gri3P MgGri23P2 P1f Glcin ADPf
kLDHv14 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Vmaxv4 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Vmaxv3 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Vmaxv28 0.0046997 0.0108197 0.000862886 0.0138093 0.00202005 2.34371e-05 0.000156347 0.0206665 0.0233719 0.0610738 0.246887 0.0125815 0.000777101 -0.59221 0.0769357 0.00243273 0.0670203 0.00837071 -2.18743 0.0151746 0.149928 0.00048043 -1.14311 0.0060262 0.0244265 0.0379308 0.00623244 -6.58313 0.126964 0.00958987 0.1181 0.000186708 0.00486527 0.0151093 5.73939e-06 0.0614385 0.214945 4.89738e-05 -16.2888 0.152109
Vmaxv27 0.00470073 0.0108172 0.000862899 0.0138124 0.00201966 2.34322e-05 0.000156345 0.0206669 0.0233719 0.0610738 0.246887 0.0125842 0.000992879 -0.59227 0.0769357 0.00243235 0.06701 0.00836897 -2.18714 0.015181 0.14993 0.000480376 -1.14312 0.00602675 0.0244313 0.037942 0.00623364 -6.58313 0.126974 0.00959128 0.118093 0.000186708 0.00486528 0.0151139 5.73818e-06 0.0614269 0.214955 4.89736e-05 -16.2891 0.1521
Vmaxv23 0.00377372 0.0108027 0.000863788 0.0110888 0.0019918 2.30847e-05 0.000156298 0.0206928 0.023372 0.0610739 0.246926 0.0101175 0.000642573 -0.59408 0.0769356 0.00241208 0.0666567 0.00835256 -2.18916 0.0194284 0.150085 0.000480965 -1.14312 0.00602989 0.0234556 0.0383198 0.00791313 -6.58314 0.127028 0.00959271 0.117813 0.000186664 0.0048665 0.0152705 5.65163e-06 0.0613009 0.215039 4.89615e-05 -16.3046 0.151842
Vmaxv22 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Vmaxv18 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Vmaxv16 0.00469963 0.0108199 0.000862886 0.0138091 0.00202006 2.34372e-05 0.000156347 0.0206665 0.0233719 0.0610738 0.246887 0.0125813 0.000774234 -0.592203 0.0769357 0.00243277 0.0670214 0.00837076 -2.18745 0.0151745 0.149928 0.000480426 -1.14312 0.00602613 0.0244263 0.0379303 0.00623236 -6.58313 0.126963 0.00958971 0.118101 0.000186708 0.00486527 0.0151091 5.73943e-06 0.0614387 0.214944 4.89738e-05 -16.2888 0.15211
Vmaxv11 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Vmaxv2 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Vmaxv0 0.00470345 0.0108167 0.000862966 0.0138203 0.00201754 2.34057e-05 0.000156352 0.0206688 0.0233719 0.0610738 0.246892 0.0125914 0.000784311 -0.592402 0.0769357 0.0024311 0.0669824 0.00836957 -2.1877 0.0152147 0.149945 0.000480579 -1.14312 0.00602831 0.024461 0.0379969 0.00624029 -6.58313 0.127001 0.00959682 0.118069 0.000186704 0.00486538 0.0151364 5.73159e-06 0.0614338 0.214953 4.89727e-05 -19.7781 0.152082
Vmax2v1 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Vmax1v1 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
KiiGraPv4 0.00469956 0.0108208 0.000862888 0.013809 0.00202 2.34364e-05 0.000156347 0.0206665 0.0233719 0.0610738 0.246887 0.0125811 0.000774493 -0.592189 0.0769357 0.00243289 0.0670243 0.00837111 -2.18742 0.0151758 0.149926 0.000480424 -1.14312 0.00602611 0.0244274 0.0379302 0.00623268 -6.58313 0.126963 0.00958796 0.118103 0.000186708 0.00486527 0.015109 5.73922e-06 0.0614402 0.214944 4.89737e-05 -16.2889 0.152112
Keqv6 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Keqv5 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Keqv28 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Keqv25 0.00469962 0.0108199 0.000862886 0.0138091 0.00202005 2.3437e-05 0.000156347 0.0206665 0.0233719 0.0610738 0.246887 0.0125813 0.000774383 -0.592198 0.0769357 0.00243282 0.0670225 0.00837081 -2.18745 0.0151748 0.149927 0.000480424 -1.14312 0.00602611 0.0244265 0.0379301 0.00623242 -6.58313 0.126963 0.00958973 0.118102 0.000186708 0.00486527 0.015109 5.73938e-06 0.061439 0.214944 4.89738e-05 -16.2888 0.152111
Keqv23 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Keqv21 0.0241294 0.0115277 0.00082767 0.0680569 0.00311223 3.77257e-05 0.000157414 0.0196477 0.023368 0.0610729 0.245192 2.00359e-06 0.00363867 -0.521511 0.0769356 0.00316981 0.0814253 0.00895944 -2.12618 0.0356214 0.143929 0.000452021 -1.14318 0.00573385 0.031843 0.0248087 0.0247342 -6.58312 0.121834 0.00898662 0.12884 0.000188479 0.00481667 0.00971291 9.31975e-06 0.0655774 0.21111 4.94619e-05 -15.7536 0.161677
Keqv19 0.00469964 0.0108199 0.000862886 0.0138092 0.00202006 2.34372e-05 0.000156347 0.0206665 0.0233719 0.0610738 0.246887 0.0125813 0.000774387 -0.592198 0.0769357 0.00243282 0.0670225 0.00837081 -2.18745 0.0151747 0.149927 0.000480424 -1.14312 0.00602611 0.0244265 0.0379301 0.0062324 -6.58314 0.126963 0.00958973 0.118102 0.000185836 0.00486527 0.015109 5.73941e-06 0.061439 0.214944 4.89738e-05 -16.2888 0.152111
Keqv18 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Keqv17 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Keqv16 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Keqv14 0.0046995 0.0108199 0.000862901 0.0138088 0.0020196 2.34314e-05 0.000156347 0.0206669 0.0233719 0.0610738 0.246887 0.012581 0.00077438 -0.592198 0.0769357 0.00243282 0.0670225 0.0083708 -2.18745 0.015175 0.149927 0.000480424 -1.14312 0.00602611 0.0244268 0.0379303 0.00623254 -6.58313 0.126963 0.00958974 0.118102 0.000186708 0.00486529 0.015109 5.73798e-06 0.061439 0.214944 4.89736e-05 -16.2888 0.152111
