name ancestor mean var
kLDHv14 1 nan nan
Vmaxv4 1 nan nan
Vmaxv3 1 nan nan
Vmaxv28 1 0.895115 0.0281409
Vmaxv27 1 0.564717 0.113645
Vmaxv23 1 0.00354308 2.51573e-05
Vmaxv22 1 nan nan
Vmaxv18 1 nan nan
Vmaxv16 1 0.99996 7.51994e-10
Vmaxv11 1 nan nan
Vmaxv2 1 nan nan
Vmaxv0 1 0.00707793 0.00649002
Vmax2v1 1 nan nan
Vmax1v1 1 nan nan
KiiGraPv4 1 0.99751 0.000311683
Keqv6 1 nan nan
Keqv5 1 nan nan
Keqv28 1 nan nan
Keqv25 1 1 2.9976e-15
Keqv23 1 nan nan
Keqv21 1 0 0
Keqv19 1 0.999998 4.26326e-14
Keqv18 1 nan nan
Keqv17 1 nan nan
Keqv16 1 nan nan
Keqv14 1 0.999997 1.85456e-09
Keqv13 1 nan nan
Keqv12 1 1.40954e-41 1.00575e-83
KX5Pv21 1 1 3.33067e-16
K6v26 1 0.999999 1.37568e-12
KdAMP 1 nan nan
KdADP 1 nan nan
KFru16P2v12 1 nan nan
KRu5Pv21 1 1 -2.22045e-16
Keqv29 1 nan nan
Kd3 1 nan nan
Keqv26 1 1 0
KR5Pv25 1 0 0
KR5Pv22 1 1 1.88738e-15
KPGA23v18 1 nan nan
Vmaxv9 1 nan nan
KPv6 1 0.919068 0.00471876
KPEPv12 1 nan nan
KNADPv19 1 0.999995 3.12413e-10
Vmaxv24 1 0.990544 2.08355e-05
KNADPv18 1 nan nan
Vmaxv25 1 nan nan
Vmaxv19 1 0.901967 2.01255e-05
KNADPv17 1 nan nan
KNADPHv17 1 nan nan
K13P2Gv6 1 0.999942 6.58147e-09
KNADHv6 1 0.999999 3.79075e-12
KGSSGv19 1 nan nan
KMoutv0 1 0.00220794 0.00214013
KDHAPv4 1 nan nan
KMinv0 1 0.00750906 0.00740525
KATPv18 1 nan nan
KMgv1 1 nan nan
Vmaxv13 1 6.4459e-05 3.48423e-08
KADPv16 1 1 5.32907e-15
Kd4 1 nan nan
K23P2Gv8 1 nan nan
KMgATPv1 1 nan nan
KMgATPMgv1 1 nan nan
Keqv27 1 nan nan
KMgADPv7 1 nan nan
KMg23P2Gv1 1 nan nan
Vmaxv12 1 nan nan
KMGlcv1 1 nan nan
Vmaxv21 1 0.999679 6.43039e-07
KGraPv6 1 0.963898 0.00125211
Keqv3 1 1 -4.21885e-15
KAMPv3 1 nan nan
KGlc6Pv2 1 nan nan
KGlc6Pv1 1 nan nan
KGSHv19 1 nan nan
kATPasev15 1 1 0
Kv20 1 nan nan
Keqv2 1 0 0
KFru6Pv2 1 0.999897 1.77473e-08
KFru16P2v4 1 nan nan
Keqv11 1 nan nan
KDHAPv5 1 0.996609 1.44236e-05
Vmaxv26 1 0.681205 0.000354003
K4v24 1 0.999771 2.10158e-08
KMgATPv3 1 1.14668e-22 3.29768e-46
KGraPv5 1 0.999998 2.82796e-12
KATPv16 1 1 2.02061e-14
KATPv12 1 nan nan
Vmaxv29 1 0.99985 5.34281e-09
KNADv6 1 0.876919 0.00261465
kDPGMv8 1 nan nan
Vmaxv5 1 0.966893 0.000307418
KAMPv16 1 0.999998 1.79008e-11
KNADPHv19 1 0.957955 4.10247e-09
KRu5Pv22 1 0.999983 0
KG6Pv17 1 nan nan
K7v24 1 0.99991 2.94065e-09
K7v23 1 0.980083 0.0113705
Vmaxv10 1 nan nan
Keqv10 1 nan nan
KMgATPv7 1 0.999999 0
Vmaxv17 1 nan nan
KFru6Pv3 1 nan nan
K7v26 1 0.999851 1.00561e-07
K1v24 1 0.99996 4.06219e-10
KGraPv4 1 nan nan
K6v24 1 0.999988 6.41774e-10
Keqv7 1 nan nan
Kd2 1 nan nan
Keqv22 1 nan nan
KNADPHv18 1 0.822506 0.00481217
K6PG2v18 1 0.998977 3.95523e-07
KMgADPv12 1 nan nan
K4v26 1 1 8.60423e-14
K5v23 1 0.999816 9.13667e-07
KATPv25 1 0.996186 9.23361e-06
Keqv0 1 nan nan
Kd23P2G 1 nan nan
K6PG1v18 1 nan nan
Keqv24 1 nan nan
Keqv1 1 0.999999 4.82614e-13
K3v23 1 nan nan
KPEPv11 1 0.994826 0
K3PGv10 1 nan nan
K5v26 1 0.99999 1.1792e-09
K4v23 1 1 5.66214e-15
K23P2Gv9 1 0.00334573 0.0029328
KATPv17 1 nan nan
K1v26 1 0.99999 5.13e-11
K2v23 1 0.991788 3.93585e-05
K3v24 1 0.988095 1.67155e-05
Keqv9 1 0.55883 0.245664
Kd1 1 nan nan
K5v24 1 0.999992 6.00965e-11
K2PGv11 1 nan nan
K3v26 1 0.997525 1.66807e-06
K2v24 1 0.914662 0.00139646
Keqv8 1 0.00263851 0.00263155
Keqv4 1 nan nan
K2v26 1 0.834451 5.32198e-05
Vmaxv6 1 nan nan
KATPv3 1 nan nan
KPGA23v17 1 nan nan
K2PGv10 1 0.997823 1.29659e-05
K1v23 1 0.999499 4.30529e-07
Vmaxv7 1 0.949459 1.71789e-05
K6v23 1 1 -2.10942e-15
KdATP 1 nan nan
K3PGv7 1 0.999098 1.06171e-06
KiGraPv4 1 2.35862e-155 1.78187e-307
K13P2Gv7 1 0.0491637 0.000592854
KMgv3 1 nan nan
K23P2Gv1 1 nan nan
