name ancestor mean var
kLDHv14 243.4 nan nan
Vmaxv4 98.91 nan nan
Vmaxv3 239 nan nan
Vmaxv28 10000 15634.4 1.19208e+08
Vmaxv27 100 482.485 603001
Vmaxv23 23.5 46067.6 2.5471e+09
Vmaxv22 730 nan nan
Vmaxv18 1575 nan nan
Vmaxv16 1380 9.64711e+06 1.55872e+15
Vmaxv11 1500 nan nan
Vmaxv2 935 nan nan
Vmaxv0 33.6 25915.8 1.16586e+09
Vmax2v1 33.2 nan nan
Vmax1v1 15.8 nan nan
KiiGraPv4 0.176 0.58849 0.229435
Keqv6 0.000192 nan nan
Keqv5 0.0407 nan nan
Keqv28 1 nan nan
Keqv25 100000 170123 4.39155e+10
Keqv23 1.05 nan nan
Keqv21 2.7 8.09418e-05 1.13822e-10
Keqv19 1.04 717.224 2.12173e+06
Keqv18 141.7 nan nan
Keqv17 2000 nan nan
Keqv16 0.25 nan nan
Keqv14 14181.8 3637.62 3.64821e+07
Keqv13 9090 nan nan
Keqv12 13790 441385 1.8422e+10
KX5Pv21 0.5 2777.29 5.80286e+07
K6v26 0.122 0.250725 0.0253028
KdAMP 16.64 nan nan
KdADP 0.76 nan nan
KFru16P2v12 0.005 nan nan
KRu5Pv21 0.19 0.147408 0.00313671
Keqv29 1 nan nan
Kd3 1e-05 nan nan
Keqv26 1.2 1.90885 0.441696
KR5Pv25 0.57 754.4 184138
KR5Pv22 2.2 13.6618 642.192
KPGA23v18 0.12 nan nan
Vmaxv9 0.53 nan nan
KPv6 3.9 0.113802 0.0301142
KPEPv12 0.225 nan nan
KNADPv19 0.07 0.488375 0.150769
Vmaxv24 27.2 15043.9 4.29882e+08
KNADPv18 0.018 nan nan
Vmaxv25 1.1 nan nan
Vmaxv19 90 4017.11 863757
KNADPv17 0.00367 nan nan
KNADPHv17 0.00312 nan nan
K13P2Gv6 0.0035 0.397084 0.39301
KNADHv6 0.0083 1.8185 6.44734
KGSSGv19 0.0652 nan nan
KMoutv0 1.7 0.0306065 0.0120665
KDHAPv4 0.0364 nan nan
KMinv0 6.9 233828 3.54951e+11
KATPv18 0.154 nan nan
KMgv1 1.03 nan nan
Vmaxv13 2.8e+06 4.05967e+08 1.71818e+16
KADPv16 0.11 51.5858 5675.01
Kd4 0.0002 nan nan
K23P2Gv8 0.04 nan nan
KMgATPv1 1.44 nan nan
KMgATPMgv1 1.14 nan nan
Keqv27 1 nan nan
KMgADPv7 0.35 nan nan
KMg23P2Gv1 3.44 nan nan
Vmaxv12 570 nan nan
KMGlcv1 0.1 nan nan
Vmaxv21 4634 14699.5 2.50458e+08
KGraPv6 0.005 0.000255659 1.02948e-07
Keqv3 100000 8.90489e+07 6.03799e+16
KAMPv3 0.033 nan nan
KGlc6Pv2 0.182 nan nan
KGlc6Pv1 0.0045 nan nan
KGSHv19 20 nan nan
kATPasev15 1.68 1.67085 0
Kv20 0.03 nan nan
Keqv2 0.3925 7.93436e-06 1.50972e-12
KFru6Pv2 0.071 0.105385 0.00091847
KFru16P2v4 0.0071 nan nan
Keqv11 1.7 nan nan
KDHAPv5 0.838 0.0347197 0.00446434
