name ancestor mean var
kLDHv14 16.2509 nan nan
Vmaxv4 16.2509 nan nan
Vmaxv3 16.2509 nan nan
Vmaxv28 16.2509 16.2508 6.77592e-08
Vmaxv27 16.2509 16.2506 2.75083e-06
Vmaxv23 16.2509 16.2522 2.01708e-08
Vmaxv22 16.2509 nan nan
Vmaxv18 16.2509 nan nan
Vmaxv16 16.2509 16.2508 2.16005e-12
Vmaxv11 16.2509 nan nan
Vmaxv2 16.2509 nan nan
Vmaxv0 16.2509 16.6596 0.00861084
Vmax2v1 16.2509 nan nan
Vmax1v1 16.2509 nan nan
KiiGraPv4 16.2509 16.2509 7.25549e-10
Keqv6 16.2509 nan nan
Keqv5 16.2509 nan nan
Keqv28 16.2509 nan nan
Keqv25 16.2509 16.2509 9.66338e-13
Keqv23 16.2509 nan nan
Keqv21 16.2509 16.279 3.54441e-09
Keqv19 16.2509 16.2509 7.95808e-13
Keqv18 16.2509 nan nan
Keqv17 16.2509 nan nan
Keqv16 16.2509 nan nan
Keqv14 16.2509 16.2509 1.08002e-12
Keqv13 16.2509 nan nan
Keqv12 16.2509 16.256 4.52474e-11
KX5Pv21 16.2509 16.2509 2.84217e-13
K6v26 16.2509 16.2509 2.84217e-13
KdAMP 16.2509 nan nan
KdADP 16.2509 nan nan
KFru16P2v12 16.2509 nan nan
KRu5Pv21 16.2509 16.2509 5.68434e-14
Keqv29 16.2509 nan nan
Kd3 16.2509 nan nan
Keqv26 16.2509 16.2509 0
KR5Pv25 16.2509 16.2713 3.97185e-08
KR5Pv22 16.2509 16.2509 3.97904e-13
KPGA23v18 16.2509 nan nan
Vmaxv9 16.2509 nan nan
KPv6 16.2509 16.2507 4.29691e-09
KPEPv12 16.2509 nan nan
KNADPv19 16.2509 16.2509 1.36424e-12
Vmaxv24 16.2509 16.2508 1.43473e-10
KNADPv18 16.2509 nan nan
Vmaxv25 16.2509 nan nan
Vmaxv19 16.2509 16.251 1.65414e-11
KNADPv17 16.2509 nan nan
KNADPHv17 16.2509 nan nan
K13P2Gv6 16.2509 16.2509 1.66551e-11
KNADHv6 16.2509 16.2509 5.68434e-13
KGSSGv19 16.2509 nan nan
KMoutv0 16.2509 16.3603 4.27017e-05
KDHAPv4 16.2509 nan nan
KMinv0 16.2509 16.3515 0.00236403
KATPv18 16.2509 nan nan
KMgv1 16.2509 nan nan
Vmaxv13 16.2509 16.2524 1.14444e-06
KADPv16 16.2509 16.2509 -4.54747e-13
Kd4 16.2509 nan nan
K23P2Gv8 16.2509 nan nan
KMgATPv1 16.2509 nan nan
KMgATPMgv1 16.2509 nan nan
Keqv27 16.2509 nan nan
KMgADPv7 16.2509 nan nan
KMg23P2Gv1 16.2509 nan nan
