met conc
Rul5P 0.00472192
PEP 0.0109396
P2f 0.000863632
Rib5P 0.0140053
P2NADP 0.00202414
NADPf 2.34376e-05
NADH 0.000156372
P2NADPH 0.0211122
P1NADPH 0.0239453
NAD 0.0653436
Mgf 0.555793
Xul5P 0.0127437
Phi 0.999225
MgATP 1.41771
Pyr 0.08399
MgAMP 0.00243877
AMPf 0.0722413
Gri2P 0.00844208
Gri23P2f 2.06123
Sed7P 0.0154123
ATPf 0.183657
Gri13P2 0.000480655
Lac 1.68031
GraP 0.00606287
GlcA6P 0.0250543
Glc6P 0.0394896
E4P 0.00627176
GSH 3.11403
DHAP 0.149233
Fru16P2 0.0096835
MgADP 0.136822
GSSG 0.000186743
NADPHf 0.00488917
Fru6P 0.0153444
P1NADP 5.73941e-06
Gri3P 0.0657639
MgGri23P2 0.687233
P1f 4.89762e-05
Glcin 4.5668
ADPf 0.187128
