ER;Metabolite;Rep;Tissue
0.414019681616326;1-methylhistamine;1;Brain
1.87286518859063;1-methylnicotinamide;1;Brain
0.706036136719055;2-aminoadipate;1;Brain
0.70459816700534;2-hydroxyglutarate;1;Brain
0.181946653149576;3-methyladipate/pimelate;1;Brain
2.29656872580022;3-phosphoglycerate;1;Brain
0.579083698397079;4-hydroxybenzaldehyde;1;Brain
2.10419848218383;4-pyridoxate;1;Brain
0.243969419481568;5-HIAA;1;Brain
0.174589360519082;5-adenosylhomocysteine;1;Brain
0.768405134320649;6-phosphogluconate;1;Brain
1.5037184443737;ADP;1;Brain
0.382406245196064;AMP;1;Brain
0.593191649718089;C12 carnitine;1;Brain
0.526934835391937;C14 carnitine;1;Brain
0.289761407800978;C14:0 LPC;1;Brain
0.299425101487451;C14:0 SM;1;Brain
0.488481707223238;C16 carnitine;1;Brain
0.203887761118547;C16:0 CE;1;Brain
0.0993263576260739;C16:0 LPC;1;Brain
0.138161910495222;C16:0 LPE;1;Brain
0.146656009015275;C16:0 SM;1;Brain
0.142106825179755;C16:1 LPC;1;Brain
0.372167391042472;C16:1 SM;1;Brain
0.296538971123799;C18 carnitine;1;Brain
0.141693988333776;C18:0 LPC;1;Brain
0.199743028494793;C18:0 LPE;1;Brain
0.0109239912128289;C18:0 SM;1;Brain
0.368829468464388;C18:1 CE;1;Brain
0.0899585637893887;C18:1 LPC;1;Brain
0.0993324090742335;C18:1 LPE;1;Brain
0.164771847990258;C18:1 SM;1;Brain
0.294097755878605;C18:1 carnitine;1;Brain
0.346046667870774;C18:2 CE;1;Brain
0.108683570549692;C18:2 LPC;1;Brain
0.59801687073867;C18:2 SM;1;Brain
0.446591672560042;C18:2 carnitine;1;Brain
0.488925524606465;C2 carnitine;1;Brain
0.0737605773273142;C20:3 CE;1;Brain
0.0789576902980577;C20:3 LPC;1;Brain
0.233672602944603;C20:4 CE;1;Brain
0.158027582482942;C20:4 LPC;1;Brain
0.164298335973303;C20:4 LPE;1;Brain
0.0172298279926188;C22:0 SM;1;Brain
0.0313618823431976;C22:1 SM;1;Brain
0.137131244013116;C22:6 LPC;1;Brain
0.122131280572856;C22:6 LPE;1;Brain
0.204706634404573;C24:0 SM;1;Brain
0.185206540659357;C24:1 SM;1;Brain
1.18566136475202;C3 carnitine;1;Brain
0.107063059178625;C3-DC carnitine;1;Brain
0.00406878202669806;C32:0 PC;1;Brain
0.0562308092667186;C32:1 PC;1;Brain
0.591887683660795;C32:2 PC;1;Brain
0.11000077209064;C34:1 DAG;1;Brain
0.00243437846469477;C34:1 PC;1;Brain
0.260602521235172;C34:2 DAG;1;Brain
0.0415458834258654;C34:2 PC;1;Brain
0.165947371398134;C34:3 PC;1;Brain
0.657869664162174;C34:4 PC;1;Brain
0.241263280943857;C36:1 DAG;1;Brain
0.117850098732071;C36:2 DAG;1;Brain
0.0089734069675436;C36:2 PC;1;Brain
0.259958390496313;C36:4 PC-A;1;Brain
0.022637063911249;C36:4 PC-B;1;Brain
0.078209492052563;C38:2 PC;1;Brain
0.0144501151414824;C38:4 PC;1;Brain
0.0299779969147911;C38:5 PC;1;Brain
0.0446769154061293;C38:6 PC;1;Brain
0.679545860718653;C4 carnitine;1;Brain
0.0799950820395009;C48:0 TAG;1;Brain
0.224645110024725;C48:1 TAG;1;Brain
0.487414445993845;C5 carnitine;1;Brain
0.0741378477470192;C50:0 TAG;1;Brain
0.152540821142619;C50:1 TAG;1;Brain
0.358152495684129;C50:2 TAG;1;Brain
0.204795455114513;C52:1 TAG;1;Brain
0.259769860595865;C52:2 TAG;1;Brain
0.257411969968411;C52:3 TAG;1;Brain
0.39945380774869;C52:4 TAG;1;Brain
0.39950241569468;C54:1 TAG;1;Brain
0.132638600973231;C54:10 TAG;1;Brain
0.143494469921081;C54:2 TAG;1;Brain
0.200644434430218;C54:3 TAG;1;Brain
0.340023694073393;C54:4 TAG;1;Brain
0.231244973695215;C54:5 TAG;1;Brain
0.721153056627036;C54:6 TAG;1;Brain
0.114428829049113;C54:8 TAG;1;Brain
0.40409515476313;C56:4 TAG;1;Brain
0.0697600764985068;C56:6 TAG;1;Brain
0.0962174513772703;C56:7 TAG;1;Brain
0.159709270460334;C56:8 TAG;1;Brain
0.194462143980872;C58:10 TAG;1;Brain
0.421367842748657;C58:6 TAG;1;Brain
0.086722088306194;C58:8 TAG;1;Brain
0.0868175563373777;C58:9 TAG;1;Brain
0.18933226866415;C6 carnitine;1;Brain
0.205577760877468;C60:12 TAG;1;Brain
0.159356069396019;CMP;1;Brain
0.121332393567858;DHAP/glyceraldehyde 3P;1;Brain
0.246514423962896;GABA;1;Brain
0.296994929033807;GDP;1;Brain
0.487490747489968;GMP;1;Brain
0.639681069596716;IMP;1;Brain
1.07857361922272;N-carbamoyl-beta-alanine;1;Brain
0.458898127564527;N-monomethylarginine;1;Brain
0.531188923832569;NAD;1;Brain
0.685590308640701;NADP;1;Brain
0.961668748994114;UDP-galactose/UDP-glucose;1;Brain
0.578288198276188;UDP-glucuronate;1;Brain
0.35853304701947;UMP;1;Brain
0.129903029088319;aconitate;1;Brain
1.06689485805797;adenine;1;Brain
0.555789942089982;adenosine;1;Brain
0.114851659211092;adipate;1;Brain
0.0761452515113895;alanine;1;Brain
0.626307332117022;allantoin;1;Brain
0.121129257354743;alpha-glycerophosphate;1;Brain
0.837080495578166;alpha-glycerophosphocholine;1;Brain
0.213414661973729;alpha-hydroxybutyrate;1;Brain
0.112614629039784;anthranilic acid;1;Brain
0.0552319227802269;arginine;1;Brain
0.660878349514008;asparagine;1;Brain
0.195467511215228;aspartate;1;Brain
0.140822076132191;asymmetric dimethylarginine / symmetric dimethylarginine;1;Brain
0.10708898865953;beta-hydroxybutyrate;1;Brain
0.268432560303654;betaine;1;Brain
0.240482184517951;butyrobetaine;1;Brain
0.0981249762512703;cAMP;1;Brain
0.0940718439458323;carnitine;1;Brain
0.0411046741213809;chenodeoxycholate/deoxycholate;1;Brain
0.0124466698739968;choline;1;Brain
0.132392672114658;citrate;1;Brain
0.40364771766764;citrulline;1;Brain
0.0891189258161738;cotinine;1;Brain
0.0121055533864372;creatine;1;Brain
0.11167514818656;creatinine;1;Brain
1.00812546749649;cystathionine;1;Brain
0.640282828329786;cytidine;1;Brain
0.31268815002182;dCMP;1;Brain
0.107544936105217;dUMP;1;Brain
0.299599814729465;erythrose-4-phosphate;1;Brain
0.141023427206113;fructose/glucose/galactose;1;Brain
0.0281327572925656;fumarate/maleate/alpha-ketoisovalerate;1;Brain
0.152207760990987;gentisate;1;Brain
0.891130388065856;glucuronate;1;Brain
0.0196991002710355;glutamate;1;Brain
0.0252848756142153;glutamine;1;Brain
1.87337643017123;glutathione oxidized;1;Brain
0.792553784137951;glutathione reduced;1;Brain
0.113206108888515;glycerol;1;Brain
0.149246645073032;glycine;1;Brain
0.282191595793834;glycocholate;1;Brain
0.963977448714602;guanine;1;Brain
0.607089224204583;guanosine;1;Brain
1.43380075548589;hexose diphosphate;1;Brain
1.88119848813652;hexose monophosphate;1;Brain
0.756073784270027;histamine;1;Brain
0.152726837096168;histidine;1;Brain
0.128651579861984;hydroxyproline;1;Brain
0.00200945345648065;hypoxanthine;1;Brain
0.0366686145040524;inosine;1;Brain
0.039127093626329;inositol;1;Brain
0.180663437555757;isocitrate;1;Brain
0.199666246010202;isoleucine;1;Brain
0.285168285103628;kynurenic acid;1;Brain
0.475527259199417;kynurenine;1;Brain
