species_id wild_type mean var CV ER
ADPf 0.187128 0.18712041489999817 2.0963759894687684e-09 0.0002446884200391742 5.98676419549804e-12
AMPf 0.0722413 0.07222855972000071 1.3787880247251305e-09 0.0005140907580592292 2.6419614984618533e-11
ATPf 0.183657 0.18367624839999966 1.3683932709174229e-08 0.0006368724531647217 4.056915037242703e-11
DHAP 0.149233 0.14914751859999886 1.0241016253770274e-08 0.0006785088167768541 4.59846953404508e-11
E4P 0.00627176 0.006268625571000037 3.2433337089697416e-12 0.0002872919704312771 8.245419236274643e-12
Fru16P2 0.0096835 0.009666522665999757 1.2736488324779655e-10 0.0011674937849176482 1.358266426110255e-10
Fru6P 0.0153444 0.015342759879999503 3.148927863252937e-11 0.00036574455361587703 1.3374040475078175e-11
GSH 3.11403 3.114038813999957 4.962803501484814e-10 7.15384487459524e-06 5.064260122367159e-15
GSSG 0.000186743 0.00018056981470000247 1.1862907839589048e-10 0.06031848512491694 3.4017507847979854e-07
Glc6P 0.0394896 0.039489536790000446 1.0488346779621849e-10 0.00025934117821031647 6.725770174131895e-12
GlcA6P 0.0250543 0.023172490150000148 7.878522100954926e-07 0.0383044889626621 1.255105437126036e-07
Glcin 4.5668 4.5530951270000015 0.0003577076251453093 0.004153912794952531 1.7151583289742866e-09
Glcout 5.0 5.0 0.0 0.0 0.0
GraP 0.00606287 0.0060608213020000475 1.7050950793439865e-11 0.000681306953052517 4.638654605981785e-11
Gri13P2 0.000480655 0.00048052656330000706 1.480451287317631e-13 0.0008007181276238543 6.408069752605883e-11
Gri23P2f 2.06123 2.061696566999973 8.80255526514162e-06 0.001439062421172299 2.071838298922657e-10
Gri2P 0.00844208 0.008431736777999873 9.882463167839705e-11 0.001179004769355989 1.3866481065605285e-10
Gri3P 0.0657639 0.06569769340999815 4.110219862379916e-09 0.0009758485130237048 9.503638179753083e-11
Lac 1.68031 1.680301810999999 7.134826063293076e-11 5.026948078597742e-06 2.560174294785611e-15
Lacex 1.68 1.6800000000002027 -5.471179065352771e-13 nan 0.0
MgADP 0.136822 0.13679943889999296 5.997343063141036e-09 0.0005661025746458744 3.2036638863974787e-11
MgAMP 0.00243877 0.002492539749000061 2.4479453693859154e-09 0.01984992032574738 4.115854688162557e-08
MgATP 1.41771 1.4176827789999862 9.974513659471995e-09 7.044769710046291e-05 4.962734667657287e-13
MgGri23P2 0.687233 0.6873016170000064 2.632121893220152e-07 0.0007464584404270785 5.5731163906003187e-11
Mgf 0.555793 0.5557235796999876 1.4903715134240159e-07 0.0006946858389129615 4.8246775607996285e-11
NAD 0.0653436 0.06534352019000471 1.19522447494802e-15 5.290810560847394e-07 7.556177905598815e-17
NADH 0.000156372 0.00015647653169999367 3.178044652255608e-15 0.00036027222856748235 1.2996962128752898e-11
NADPHf 0.00488917 0.004889171508999897 5.475232829513059e-14 4.7859264890691606e-05 2.2904533825141013e-13
NADPf 2.34376e-05 2.3541997250000522e-05 4.56061409934774e-15 0.0028685891943471815 8.30227380288484e-10
P1NADP 5.73941e-06 6.065659770000036e-06 2.9825319075106223e-14 0.028471772358912063 9.054210733425716e-08
P1NADPH 0.0239453 0.02394484198000044 9.839123873284228e-14 1.3099847467295788e-05 1.71897274192645e-14
P1f 4.89762e-05 4.910236092999912e-05 5.2542056690251e-14 0.004668218335250292 2.190467914675587e-09
P2NADP 0.00202414 0.0020246737139999653 3.173210058126199e-11 0.002782238567798327 7.744934116704627e-10
P2NADPH 0.0211122 0.021111713519999322 2.9576303808408894e-11 0.00025760154612779716 6.635532656673604e-12
P2f 0.000863632 0.0008636111377000146 3.960936633751796e-14 0.00023045212266303025 5.3105690178689716e-12
PEP 0.0109396 0.010923406579999772 2.413998937810663e-10 0.0014223629739941032 2.0171313623862374e-10
