folder repetition nb_iterations selection_sigma selection_scheme selection_threshold species_id wild_type mean var CV ER
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 ADPf 0.187128 0.17078173789999956 0.0001556659281470342 0.07305590987327623 4.4454529037577516e-07
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 AMPf 0.0722413 0.06948453953000021 2.5279912619594058e-05 0.07236017365125488 4.844003667055064e-07
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 ATPf 0.183657 0.1905838044000002 0.00016898009687406346 0.06820744560924807 5.009802243445715e-07
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 DHAP 0.149233 0.1961667496999995 0.0010384528930653114 0.16427368675041085 4.662910303487799e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 E4P 0.00627176 0.007461874728999987 6.118728124942675e-07 0.10482928520055086 1.5555439805512883e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Fru16P2 0.0096835 0.014605490364000042 1.029745343167815e-05 0.21970946965864824 1.0981587411640836e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Fru6P 0.0153444 0.012995871405000034 7.024866858577872e-06 0.20394527283859257 2.9835840382833266e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 GSH 3.11403 3.1140919090002264 1.6830199456308037e-09 1.3173864897524006e-05 1.737572308257995e-14
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 GSSG 0.000186743 0.0001538942591999989 4.1024828292028184e-10 0.13161366004447064 1.1764083791930059e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Glc6P 0.0394896 0.02665818744999998 4.764989203976224e-05 0.2589407151251451 3.0555996501555883e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 GlcA6P 0.0250543 0.019440327956999997 1.7934478101770516e-05 0.21784158306588028 2.8570918108866583e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Glcin 4.5668 4.221166146999991 0.11824969299322063 0.08146434395435295 5.669908326673246e-07
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Glcout 5.0 5.0 0.0 0.0 0.0
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 GraP 0.00606287 0.00752494001599994 1.1915231552157653e-06 0.14506017628535275 3.241499613394838e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Gri13P2 0.000480655 0.0005177529197000004 1.1742195079152151e-09 0.06618385944311454 5.082558223768796e-07
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Gri23P2f 2.06123 2.249299030000002 0.048291793349547696 0.09769885429103575 1.1366334272297385e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Gri2P 0.00844208 0.008057315890999969 6.68037608252112e-07 0.10144019269722677 9.373504360470686e-07
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Gri3P 0.0657639 0.05012893243000019 6.281147805744678e-05 0.1580997018146387 1.4523252653432573e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Lac 1.68031 2.1080599609999724 0.05931675002112602 0.11553291052509584 2.100866828691017e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Lacex 1.68 1.6800000000002027 -5.471179065352771e-13 nan 0.0
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 MgADP 0.136822 0.12381124609999965 4.979976800180072e-05 0.056997205749579845 2.6602071147733275e-07
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 MgAMP 0.00243877 0.0020863120159999903 1.1276479487654271e-07 0.16095612494428885 1.8959716809408555e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 MgATP 1.41771 1.443252409999998 0.0005717280229502464 0.016567327155390717 2.8445572179824907e-08
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 MgGri23P2 0.687233 0.7179944179000015 0.0017903997345563027 0.058932373764469435 3.790897078776556e-07
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Mgf 0.555793 0.5128556567999977 0.0005890261859289314 0.047322987194219804 1.906814548995439e-07
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 NAD 0.0653436 0.0652886748399993 2.377943303204233e-09 0.0007469007472915462 5.569232612856467e-11
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 NADH 0.000156372 0.00021132624000000085 2.3779220349240533e-09 0.23075194994392262 9.724776515348621e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 NADPHf 0.00488917 0.0049117462279999954 1.7964136663101442e-09 0.008629134829537146 7.515122666057472e-09
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 NADPf 2.34376e-05 3.505120198000007e-05 1.1591132796835818e-10 0.30715672283389456 2.110083324398988e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 P1NADP 5.73941e-06 7.881615752000039e-06 3.1681476245374637e-12 0.22583302239172273 9.617692993240823e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 P1NADPH 0.0239453 0.023943146620000477 6.9817734493077266e-12 0.00011035744856661553 1.2176562980137362e-12
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 P1f 4.89762e-05 4.8971719200000074e-05 4.082365471914749e-12 0.04125822979843175 1.701930066474122e-07
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 P2NADP 0.00202414 0.0032428447940000076 8.194501519193734e-07 0.2791483766856027 2.0000527294282478e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 P2NADPH 0.0211122 0.019859329499999943 7.945177029274899e-07 0.0448835508372179 1.782528964760055e-07
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 P2f 0.000863632 0.0008978257293000056 1.2189557058217831e-09 0.038886773931405674 1.6342950789736133e-07
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 PEP 0.0109396 0.009261044876000095 2.524501559480246e-06 0.1715646596307329 2.109467108833429e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 PRPP 1.0 1.0 0.0 0.0 0.0
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Phi 0.999225 0.9982034014999918 0.0044662853669518165 0.06695055610180638 4.473216165228666e-07
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Phiex 1.0 1.0 0.0 0.0 0.0
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Pyr 0.08399 0.08588675608000307 2.635114255533557e-05 0.059768660854997005 3.7354617005616044e-07
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Pyrex 0.084 0.08399999999998085 2.8744367996935694e-15 6.382592184126526e-07 0.0
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Rib5P 0.0140053 0.013806035780000087 1.0819903182416625e-06 0.0753429625020288 5.516181438623091e-07
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Rul5P 0.00472192 0.005495308851000006 2.2527905082512975e-07 0.086371069606124 1.0103772475737348e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Sed7P 0.0154123 0.013150629583000065 1.756547459074825e-05 0.31870098009343895 7.394775272622656e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Xul5P 0.0127437 0.01236717785 5.934321885247543e-07 0.06228951413124726 3.6540965727551723e-07
