folder repetition nb_iterations selection_sigma selection_scheme selection_threshold species_id wild_type mean var CV ER
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 utp 0.450459 0.43590623440000265 4.9705409411543444e-05 0.016173676313505456 2.4495884104847044e-08
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 udp 0.128998 0.13491949440000034 4.679650061122781e-05 0.05070280475271417 2.812207902101127e-07
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 gtp 0.29 0.2899999999999716 2.4896751327219135e-14 5.440932559697136e-07 0.0
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 gdp 0.1 0.10000000000001588 -1.7503359872605984e-15 nan 0.0
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 pp 0.000963556 0.0009914524134999947 1.497698224431141e-09 0.03903375061848553 1.6131338137066465e-07
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 glc1p 0.00648624 0.006482067294000014 1.5217082128950816e-08 0.019030585798068808 3.61697374501202e-08
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 udpglc 0.160543 0.16917427649999986 1.679166809983451e-05 0.02422214462721051 6.51495009152514e-08
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 glyglc 17.9807 23.706690339999824 8.168467567442235 0.12055892521842723 2.5265471004806137e-06
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 glc 3.09631 2.955997411999974 0.006221408275978391 0.026683346866185124 6.48932958198456e-08
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 glc6p 0.101948 0.1037174220999996 2.092239746443597e-06 0.013946139667531351 2.0130475227531087e-08
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 fru6p 0.0531482 0.04932784242000024 1.4922277833698868e-05 0.07831148164595102 5.282724964400742e-07
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 fru16bp 0.00043426 0.00048643300559999875 8.794636338111012e-09 0.1927906234679347 4.66356710022946e-06
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 fru26bp 6.51612e-05 4.185632801000007e-05 1.1335228003632631e-10 0.2543630386100642 2.669636386236296e-06
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 grap 9.07629e-05 0.00010085965425999967 2.845860053102275e-11 0.05289191540969423 3.4545923907598475e-07
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 dhap 0.000483395 0.0004975677733000026 4.435918570452888e-09 0.13385652264863876 1.8983629853480011e-06
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 bpg13 0.149057 0.15821683609999926 6.480335890460959e-05 0.05087987818722197 2.9167067360549306e-07
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 pg3 0.298135 0.3180886800999961 0.0008092937740913908 0.08943445929128511 9.105006748640009e-07
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 pg2 0.058134 0.06280424321999994 5.309132439191948e-05 0.11601731031400216 1.570952835990802e-06
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 pep 0.00587575 0.005469037469000008 1.978659754550932e-07 0.0813344738211784 5.731185981870057e-07
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 pyr 0.0136255 0.013462324539999859 6.950592832297934e-07 0.06192854380458311 3.7438371719901164e-07
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 oaa 0.01 0.010000000000001426 -3.790641845552445e-17 nan 0.0
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 lac 1.8021e-06 1.3880139644000064e-06 6.710742515308802e-14 0.18663429578539137 2.066392430787978e-06
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 oaa_mito 7.26201e-05 6.768684244000022e-05 2.419923991438009e-11 0.07267693569199178 4.5886828271156643e-07
