species_id wild_type mean var CV ER
MgATP 0.00152212 0.001522156904000029 8.0650237414137e-14 0.00018657068379405965 3.481035526498033e-12
Glc6P 4.10568e-05 4.089916503999989e-05 9.186046159879383e-14 0.007410540238092612 5.449522239830973e-09
MgADP 9.3914e-05 9.388758545999971e-05 2.426606746785459e-13 0.005246764000593992 2.751304910630914e-09
B23PG 0.00308725 0.0030895703220000063 1.3694206184637853e-09 0.011977614923750428 1.4367898911560316e-08
Glc16P2 0.000106204 0.00010615885070000344 3.3150775150765943e-15 0.0005423637261738281 2.9390844280552384e-11
GSH 0.00320001 0.003200015221000399 2.084717489782284e-17 1.4268277949324472e-06 2.092548356813495e-16
Fru6P 1.33196e-05 1.3281764899999963e-05 1.3960684290066731e-14 0.008896057154238851 7.869086880529785e-09
Fru16P2 2.33004e-06 2.3430504950000404e-06 1.0828872106373202e-15 0.014044619060637017 1.994603015911256e-08
ATP 0.000158404 0.00015848808310000008 1.2605862030159908e-12 0.007084181215929145 5.023891618027854e-09
Mg 0.000370341 0.0003701647821999998 6.339173806176902e-12 0.006801758882494174 4.6219907331002115e-09
AMP 2.94017e-05 2.932153155999933e-05 1.1186615029395265e-14 0.0036071374811753477 1.2940581961551345e-09
Phos 0.000994883 0.0009948830000000351 -1.300195574035351e-19 nan 0.0
GrnP 2.19974e-05 2.2005505250000197e-05 2.723357978789801e-14 0.007499305079996032 5.628102876942265e-09
GraP 5.2942e-06 5.312203041999993e-06 2.3417477069418153e-15 0.009109517733531225 8.354864597426293e-09
MgB23PG 0.000768035 0.0007682197673000022 1.5274847642842537e-11 0.005087482936679773 2.589493730553727e-09
NAD 5.9895e-05 5.989362757000166e-05 4.956346289228922e-19 1.1754392899677805e-05 1.380986436316789e-14
B13PG 3.68147e-07 3.6836560090000934e-07 1.0214166028201168e-17 0.008676056844002031 7.536338238867123e-09
NADH 2.45021e-07 2.463671167000034e-07 4.873727037661381e-19 0.0028336607858281196 8.118103618004469e-10
P3GA 7.19791e-05 7.199009614000128e-05 5.552961384876327e-14 0.0032733283595180566 1.0717952523719986e-09
P2GA 1.20293e-05 1.2031156999999853e-05 1.5741319556938361e-15 0.0032977154091167484 1.0878284693927042e-09
PEP 2.02575e-05 2.0263116980000087e-05 8.553273562658445e-15 0.00456415021644247 2.0843021152128215e-09
Pyr 5.85717e-05 5.85746400600044e-05 8.758419936282972e-18 5.052464300748449e-05 2.553051992038036e-13
Lac 0.00140443 0.0014046563530000493 2.7307460034664078e-14 0.00011764421213451755 1.384481285171546e-12
NADPH 6.40171e-05 6.402098718999862e-05 6.4762972822400104e-18 3.97503559003407e-05 1.5803278685666556e-13
NADP 1.07852e-07 1.040120865299991e-07 6.4798360971857e-18 0.024473619397882465 5.570672342247729e-08
BPGSP 2.99956e-07 2.9979753820000427e-07 7.826323520406808e-18 0.009331486583519406 8.698466382051073e-09
BPGSPB13PG 2.15521e-08 2.155182150000018e-08 2.6573045901950624e-22 0.0007563741666556603 5.7208712256340275e-11
BPGSPP 6.88542e-07 6.885313891000083e-07 2.7122388895654586e-19 0.0007563803286783391 5.7209359138887806e-11
BPGSPPP3GA 9.16871e-11 9.169953546999857e-11 5.315864959214535e-26 0.0025143158567764445 6.323499102567354e-10
BPGSPPP2GA 8.37576e-12 8.398593802000085e-12 7.581032925398007e-28 0.0032783673384000974 1.0806372476412919e-09
BPGSPB23PG 1.66687e-06 1.6670555430000092e-06 1.7494681916502228e-17 0.002509013253566206 6.296548955342374e-10
BPGSPPPhos 1.12298e-06 1.1229635270000242e-06 7.215356787519561e-19 0.000756420437868852 5.7215514681629995e-11
P6GL 1.12797e-08 1.0155974286000038e-08 4.449342528691831e-19 0.06567896915094189 3.497041149077229e-07
P6G 3.41956e-05 3.24632049899997e-05 9.974819707790677e-12 0.09728841615955884 8.530305755138912e-07
