folder repetition nb_iterations selection_sigma selection_scheme selection_threshold species_id wild_type mean var CV ER
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 MgATP 0.00152212 0.0011431924857999989 5.63558272178958e-08 0.20765866290190693 2.432433881397289e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Glc6P 4.10568e-05 2.678619107140017e-05 2.4453589976423295e-10 0.5837949723859706 1.4506826993760092e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 MgADP 9.3914e-05 8.648318202000034e-05 3.6427442703124906e-09 0.6978830998126273 4.130170751141482e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 B23PG 0.00308725 0.021601848144990134 0.00039791947434212645 0.9234357594787646 0.0041749530470108825
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Glc16P2 0.000106204 0.00010945163723999963 1.771854729982441e-10 0.12161630203388195 1.5708921308914326e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 GSH 0.00320001 0.003200049219999394 7.372202078404638e-16 8.484806789354068e-06 7.150213754414381e-15
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Fru6P 1.33196e-05 1.2069962048000011e-05 4.880306903740292e-11 0.5787855266741516 2.7508364380539385e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Fru16P2 2.33004e-06 8.395476626699976e-06 6.378710722985397e-11 0.9513078855769903 0.0011749142030794647
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 ATP 0.000158404 0.0005806415477999988 1.6026562013170223e-07 0.689464763578887 0.0006387164185058087
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Mg 0.000370341 0.00034765006685000244 2.2186715568466509e-07 1.3548904781440885 0.00016176681169318815
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 AMP 2.94017e-05 5.6729093959999746e-05 1.1468341933528212e-09 0.5969589519364916 0.00013266481301445014
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Phos 0.000994883 0.0007838298976999773 3.0614402252083796e-08 0.2232240931529642 3.0930131351321056e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 GrnP 2.19974e-05 5.107967854700014e-05 1.481093722223818e-09 0.7534303576402326 0.0003060834423534406
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 GraP 5.2942e-06 8.869290298300036e-06 3.536257528469613e-11 0.6704757467030513 0.0001261662508129939
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 MgB23PG 0.000768035 0.0012593181104203364 4.937986242239595e-07 0.5580067966198533 8.371202589473517e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 NAD 5.9895e-05 5.820363514999938e-05 4.762356004898442e-12 0.037493917468304896 1.3275189187091917e-07
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 B13PG 3.68147e-07 2.86533971200001e-07 1.6857162012967267e-14 0.45312300466885536 1.243775303604212e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 NADH 2.45021e-07 1.93636433170001e-06 4.762355300605638e-12 1.1269997570071852 0.007932593089202902
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 P3GA 7.19791e-05 7.789268279999992e-05 6.163218615600844e-10 0.3187183909799027 1.1895829986442785e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 P2GA 1.20293e-05 1.3067843355000092e-05 2.3060407385251387e-11 0.36747649695002765 1.5936254743570278e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 PEP 2.02575e-05 1.9532803421000083e-05 5.7685521886789654e-11 0.3888381191314739 1.40570804688959e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Pyr 5.85717e-05 5.2823066469999805e-05 2.47757277878136e-11 0.0942300889839705 7.221888220549255e-07
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Lac 0.00140443 0.0012185423246999962 2.0741202259664334e-08 0.11818880587859128 1.051559208571462e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 NADPH 6.40171e-05 6.386666605999973e-05 9.194419330082024e-14 0.004747750710876266 2.2435322370006895e-09
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 NADP 1.07852e-07 2.583339582999996e-07 9.194472515743215e-14 1.1737670424263698 0.0007904427362205911
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 BPGSP 2.99956e-07 7.900637608000059e-07 1.155049253847299e-12 1.3603106876352518 0.0012837646031653878
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 BPGSPB13PG 2.15521e-08 1.2250177367999953e-08 2.1393031819342158e-16 1.1939710364935763 4.605673531283532e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 BPGSPP 6.88542e-07 4.107912199199953e-07 3.543307497374233e-14 0.45822973647985454 7.473911823454193e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 BPGSPPP3GA 9.16871e-11 8.816848490816986e-11 1.6055790229128176e-21 0.45446711647495563 1.909920157714381e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 BPGSPPP2GA 8.37576e-12 8.462888760626978e-12 1.471069767875055e-23 0.453208454347877 2.096934288834651e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 BPGSPB23PG 1.66687e-06 2.0764750149303045e-06 9.635665372861893e-13 0.4727310676494704 3.467993292249509e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 BPGSPPPhos 1.12298e-06 5.103231953600028e-07 1.0336396396580958e-13 0.6299981433115841 8.196437142638639e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 P6GL 1.12797e-08 8.076313030000097e-09 4.730787516125277e-18 0.2693106807064797 3.7182479218541784e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 P6G 3.41956e-05 2.2714888953e-05 1.480587977272602e-10 0.5356813065434927 1.2661750802055304e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Ru5P 4.1504e-06 3.1639163280000193e-06 1.9636056939832573e-12 0.44289640144593767 1.1399200013378907e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 GSSG 8.57847e-08 6.557273738000001e-08 1.7587896951466457e-16 0.20224772365449586 2.3899798463768995e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Xu5P 7.57335e-06 8.343108776999967e-06 8.389343909507597e-12 0.3471651266931195 1.4626888200797184e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Rib5P 4.89949e-06 4.813949342000033e-06 4.285961153323071e-12 0.43005361176078144 1.7854450113706265e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 TK 1.47938e-07 1.4963649514000038e-07 2.1191461486294288e-15 0.30764008821935895 9.682810289292144e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 TKXu5P 5.35348e-09 6.4837617249999935e-09 7.37587834586337e-18 0.4188705491898431 2.5736019442497527e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 TKG 1.73688e-07 1.7067577010000036e-07 2.1984844305041983e-15 0.2747197142408772 7.287587221484892e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 TKGRib5P 1.48964e-09 1.6067515418000065e-09 2.1342834658455663e-18 0.9092374695764737 9.618103559951687e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Sed7P 6.08067e-06 1.9930898320700068e-05 5.811350050489793e-09 3.824825662357367 0.01571716334618266
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Ery4P 7.38402e-07 8.729168006999964e-07 1.011382895442512e-13 0.3643216246819728 1.854940040272146e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 TKGEry4P 1.53141e-09 1.5972168565999929e-09 4.243245005747238e-19 0.40783563446217597 1.8093190314607567e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 ADP 0.000110229 0.00021281503498000155 8.266234894415677e-09 0.4272199887567472 6.803243369777712e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 MgB13PG 2.59722e-08 9.323158763999964e-09 5.681334639107279e-17 0.8084666423118355 8.422342408535213e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 MgFru16P2 3.46547e-07 2.91781022499999e-07 1.4691948025335866e-14 0.4154154549155949 1.223362309278403e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 MgGlc16P2 1.57958e-05 1.2548365509999992e-05 1.7718532039653405e-10 1.0607833848920505 7.10140833845222e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 MgPhos 1.25271e-05 9.137407656299975e-06 1.28614431626803e-10 1.2411430807103212 8.19574833747117e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 Hb 0.00365369 0.005442057651999998 8.571363686706947e-07 0.1701225262195095 6.420761373036399e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 HbMgATP 0.000216893 0.0001413692563796006 4.0543993663360745e-08 1.424322349852471 8.618574769791316e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 HbATP 0.000208352 0.00011722814199099951 7.766754711007192e-09 0.7517750584393462 1.789139657225992e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 HbADP 0.000100685 0.00010154129823899953 2.222986355375806e-08 1.4683368116024706 0.00021928415327699712
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 HbB23PG 0.00281996 0.0011976884796619988 8.425304147239127e-07 0.7663883980913279 1.0594969025759315e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 HbB13PG 4.25946e-07 1.1518252532299846e-07 2.4410664293777617e-14 1.3564481671463 1.345459129019917e-05
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 vhk 5.61546e-07 4.0664956889999916e-07 1.0779628515018176e-14 0.25531808657662663 3.4184805912725434e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 vgpi 5.0369e-07 3.5048928239999823e-07 1.0422736292045654e-14 0.29128366652709203 4.108233241710957e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 vpfk 5.42261e-07 3.879294679999994e-07 1.0656879954415485e-14 0.26611065625246405 3.6242098167862833e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 vald 5.42261e-07 3.879294679999994e-07 1.0656879954415485e-14 0.26611065625246405 3.6242098167862833e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 vtpi -5.42261e-07 -3.879294679999994e-07 1.0656879954415485e-14 0.0 0.0
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 vgapdh 1.10381e-06 7.945790429000055e-07 4.287112135508158e-14 0.2605825413850883 3.5186510129160742e-06
1 1 10000 0.01 MUTATION_ACCUMULATION 0.01 vpgk 8.90441e-07 7.063254801000014e-07 2.3941029316016676e-14 0.21906174148589727 3.019482528688844e-06
