folder repetition nb_iterations selection_sigma selection_scheme selection_threshold species_id wild_type mean var CV ER
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 MgATP 0.00152212 0.0015185889339999876 3.215637620435647e-11 0.0037341634144661792 1.3879355975965346e-09
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 Glc6P 4.10568e-05 4.536673643000081e-05 3.258252066955014e-11 0.12582148348756028 1.9329226949158507e-06
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 MgADP 9.3914e-05 0.00010690077411000086 1.8553032025137322e-10 0.1274167715925516 2.10355667401092e-06
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 B23PG 0.00308725 0.0032169877500000197 3.9958596203822666e-07 0.19649690041165296 4.192437760211765e-06
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 Glc16P2 0.000106204 0.00010589602370000008 4.033899410496954e-12 0.018966311503990415 3.576377190173119e-08
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 GSH 0.00320001 0.0032000174630000366 6.939571530265032e-17 2.6032386285597095e-06 6.666889262874065e-16
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 Fru6P 1.33196e-05 1.4962040099999745e-05 5.995658974590731e-12 0.16365438522975054 3.379516391639181e-06
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 Fru16P2 2.33004e-06 1.92919469899999e-06 2.335126339664995e-13 0.2504835048206293 4.301140499397071e-06
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 ATP 0.000158404 0.0001698020793999996 4.897698608868086e-10 0.13033258942512035 1.9519099054460697e-06
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 Mg 0.000370341 0.00038352437820000077 2.1560196527371936e-09 0.12106911927801513 1.5719876341991012e-06
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 AMP 2.94017e-05 3.6304469789999935e-05 1.0070232734607735e-10 0.2764137579466862 1.1649160362433796e-05
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 Phos 0.000994883 0.001156637788599994 6.002512221057422e-09 0.06698370251072257 6.064416672318495e-07
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 GrnP 2.19974e-05 1.9026140479999822e-05 1.0868469315851626e-11 0.17327403655815077 2.2460823723614908e-06
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 GraP 5.2942e-06 4.582930026999968e-06 6.88875444325255e-13 0.18110361764269556 2.457763083939124e-06
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 MgB23PG 0.000768035 0.0007589134576999973 6.161284689326526e-09 0.10342925202756745 1.0445019450304183e-06
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 NAD 5.9895e-05 5.990853529999839e-05 6.187813589244543e-16 0.0004152215729062944 1.7248702821603957e-11
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 B13PG 3.68147e-07 4.0190030199999466e-07 1.5532356471922736e-15 0.09806190866564081 1.146026915537579e-06
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 NADH 2.45021e-07 2.3146694360000357e-07 6.188547565590953e-16 0.10747448917631704 1.0308182937308951e-06
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 P3GA 7.19791e-05 7.742382262000004e-05 7.43582717101745e-12 0.03522005531595122 1.435213341430819e-07
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 P2GA 1.20293e-05 1.1267527301000038e-05 8.205295116067032e-13 0.0803930459900272 5.670397362532719e-07
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 PEP 2.02575e-05 1.882012881000015e-05 2.690528349373652e-12 0.08715578014828125 6.556406577261309e-07
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 Pyr 5.85717e-05 6.373082660000194e-05 6.49172441584358e-12 0.039978867374470636 1.8922757179533623e-07
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 Lac 0.00140443 0.0015251718079999951 3.234063730863892e-09 0.03728683474808783 1.6396395226572213e-07
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 NADPH 6.40171e-05 6.401383699000042e-05 7.844480733336504e-17 0.00013835926324295316 1.9141421780943803e-12
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 NADP 1.07852e-07 1.111594862899986e-07 7.843413281081161e-17 0.07967205488557604 6.742930651580048e-07
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 BPGSP 2.99956e-07 2.990241251999918e-07 6.925954311506667e-16 0.08801031646820207 7.697762635315186e-07
1 1 10000 0.01 RELATIVE_TARGET_FLUXES_SELECTION 0.01 BPGSPB13PG 2.15521e-08 2.142199818999994e-08 1.9704509678890206e-17 0.20721578621106834 4.242154148198185e-06
