t dt 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
0 1 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100
1 3.05176e-05 299.267 79.1902 104.479 0.089288 85.0462 165.192 0.582021 68.2096 225.085 0.188654 77.7339 405.385 0.29052 55.6281 176.487 202.765 0.987974 179.627 22.5877 87.8742 100.867 131.141 1.58471 87.2448 71.497 66.6745 89.9944 87.3931 110.475 19.2366
108.718 0.015625 501.838 18.638 89.6161 0.0489178 46.1642 58.9621 0.574862 3.4427 60.6837 0.0128095 0.98756 1095.23 0.478053 3.79534 10.2569 750.697 0.0614031 286.571 1.25162 0.188486 229.717 26.6411 0.874861 0.217605 16.1802 0.407606 0.243036 23.4232 94.6503 2.5667
213.996 0.015625 537.684 20.5289 87.8254 0.0526454 51.2499 64.9303 0.638614 3.58937 67.2202 0.0134987 1.07213 1220 0.512068 4.04007 11.0043 848.69 0.0660576 276.132 1.3848 0.204085 263.042 28.9334 0.946752 0.236787 17.4257 0.425678 0.259905 26.095 101.956 2.74645
319.55 0.015625 573.546 22.2634 93.0754 0.0566195 56.0431 70.8373 0.698917 3.86689 73.56 0.0145 1.15483 1338.62 0.546104 4.38114 11.8638 934.077 0.0705197 292.034 1.49717 0.219872 283.48 31.151 1.01764 0.257478 18.6134 0.458726 0.280236 28.635 108.836 2.9597
427.961 0.0078125 609.716 23.9992 99.7076 0.0605389 60.8749 76.9528 0.759888 4.17933 80.0001 0.015583 1.23808 1459.22 0.580422 4.75276 12.7621 1019.21 0.0749576 314.068 1.60557 0.235883 302.385 33.3638 1.08927 0.278904 19.7803 0.49577 0.301581 31.2156 115.637 3.18396
557.863 0.015625 652.415 26.0516 107.762 0.0651601 66.6346 84.4321 0.832763 4.56245 87.7121 0.016887 1.33605 1604.2 0.620918 5.20902 13.8297 1120.81 0.0801429 341.707 1.73025 0.254845 324.375 35.9456 1.1739 0.304569 21.1189 0.541107 0.326975 34.3174 123.547 3.45086
660.175 0.015625 685.643 27.6528 113.989 0.0688753 71.1606 90.46 0.890171 4.8673 93.7952 0.0179108 1.41198 1719.06 0.652417 5.57506 14.6598 1200.97 0.0841408 363.453 1.82518 0.269629 341.445 37.9299 1.23965 0.324744 22.1314 0.577128 0.346722 36.7744 129.621 3.65844
761.738 0.015625 718.293 29.2305 120.046 0.0724201 75.6458 96.568 0.947185 5.17215 99.8435 0.0189238 1.48637 1833.7 0.683357 5.94421 15.4742 1280.71 0.0880379 384.864 1.91675 0.28418 358.212 39.8592 1.30433 0.344736 23.1025 0.613106 0.366096 39.2265 135.521 3.86209
865.035 0.015625 751.163 30.8241 126.08 0.0758972 80.1995 102.909 1.0052 5.48449 106.005 0.0199513 1.56107 1950.93 0.714491 6.32572 16.293 1362 0.0919293 406.441 2.00731 0.29885 375.092 41.7822 1.36951 0.365034 24.0578 0.649921 0.385574 41.7339 141.39 4.06684
974.113 0.015625 785.499 32.4956 132.321 0.0796675 84.9989 109.745 1.06649 5.81688 112.523 0.0210339 1.63896 2075.4 0.747003 6.73538 17.1477 1448.03 0.0959601 429.011 2.10021 0.3142 392.726 43.7719 1.43745 0.386433 25.033 0.689047 0.405904 44.3963 147.445 4.28057
1100.14 0.015625 824.689 34.4133 139.37 0.0838105 90.5315 117.823 1.13732 6.20429 120.066 0.0222827 1.72776 2220.07 0.784094 7.21763 18.123 1547.66 0.100518 454.825 2.20421 0.331754 412.855 46.0211 1.51512 0.411114 26.1196 0.734584 0.429105 47.4908 154.261 4.52449
1239.88 0.03125 867.542 36.5241 146.998 0.0884332 96.65 127.007 1.21588 6.63827 128.448 0.0236661 1.82482 2381.56 0.824632 7.76392 19.1903 1658.42 0.105448 483.141 2.31555 0.350992 434.868 48.4565 1.59993 0.438435 27.2777 0.785508 0.45449 50.9452 161.596 4.79141
1383.26 0.015625 910.844 38.674 154.628 0.0931588 102.908 136.676 1.2965 7.08844 137.065 0.0250852 1.92296 2548.39 0.865574 8.33738 20.2706 1772.33 0.110373 511.876 2.42564 0.370481 457.114 50.8946 1.68555 0.46642 28.4184 0.838235 0.480184 54.5143 168.881 5.06159
