substrate product reaction_type km_f vmax_f km_b vmax_b
0 12 3 128707 4290.38 0 0
0 20 3 3.63086e+06 35134.1 0 0
1 7 3 8.4441e+07 1261.67 0 0
1 10 3 100115 3358.24 0 0
1 11 3 2552.03 5854.76 0 0
1 14 3 9.24073e+07 580.339 0 0
1 29 3 2391.17 1071.06 0 0
2 0 3 6.44178e+07 15.5109 0 0
2 4 3 8.50941e+06 36.6285 0 0
2 7 3 6.3544e+07 20565.6 0 0
2 13 3 146455 2224 0 0
2 17 3 1.05552e+06 6.39378 0 0
2 24 3 3.58456e+07 10705.2 0 0
3 0 3 35727.5 16.1262 0 0
3 11 3 740027 384.63 0 0
3 17 3 7.76482e+07 4836.35 0 0
3 21 3 490.608 26248 0 0
3 22 3 198.718 35375.3 0 0
3 28 3 4.58662e+07 2215 0 0
4 0 3 55644.8 91.1299 0 0
4 6 3 3482.44 1007.44 0 0
4 22 3 7.80019e+07 6.8159 0 0
4 23 3 1.2894e+07 6.18748 0 0
5 1 3 877.992 11.586 0 0
5 13 3 9617.76 489.194 0 0
5 22 3 455.801 48.987 0 0
5 28 3 183.278 46.3137 0 0
5 29 3 1.37938e+07 1651.76 0 0
6 8 3 392.431 5996.95 0 0
6 10 3 3274.88 21.3191 0 0
6 13 3 2.31561e+07 85.0355 0 0
6 22 3 26175.4 24971.6 0 0
6 23 3 19703.8 1349.29 0 0
6 25 3 8.59329e+06 11.596 0 0
6 27 3 251.98 9779.55 0 0
7 1 3 714.236 948.926 0 0
7 9 3 7386.42 1232.57 0 0
7 10 3 16520.5 821.48 0 0
7 18 3 1763.8 8.21818 0 0
7 20 3 6.48732e+07 158.477 0 0
7 23 3 79346.6 208.197 0 0
7 25 3 581.978 31.4887 0 0
8 1 3 196200 18707 0 0
8 3 3 3748.97 206.61 0 0
8 14 3 605.825 8.07834 0 0
8 18 3 6.36301e+07 7.87077 0 0
8 24 3 6.43055e+07 43.437 0 0
9 8 3 602.098 40014.3 0 0
9 10 3 2.21111e+06 45862 0 0
9 12 3 19187.2 10.6464 0 0
9 15 3 819694 31392.8 0 0
9 16 3 592.854 78.9509 0 0
9 20 3 21437.5 1064.13 0 0
9 22 3 112325 203.94 0 0
9 24 3 3.49341e+07 7.22798 0 0
9 26 3 1.10971e+06 326.275 0 0
10 2 3 4.73052e+07 1483.99 0 0
10 8 3 3.01326e+06 33.1204 0 0
10 14 3 262.722 379.777 0 0
10 17 3 117851 5978.6 0 0
10 18 3 205401 463.845 0 0
10 21 3 78445.4 6804.75 0 0
11 1 3 30124.2 48.4125 0 0
11 4 3 22349.9 282.816 0 0
11 6 3 93198.2 1576.4 0 0
11 21 3 2649.91 50.6249 0 0
11 22 3 1.92782e+06 678.856 0 0
12 5 3 529.375 18374 0 0
12 8 3 3013.16 15.1073 0 0
12 16 3 1699.22 324.03 0 0
12 19 3 167918 18.6853 0 0
12 27 3 3.47039e+06 2078.26 0 0
13 3 3 5.16035e+06 14.9125 0 0
13 6 3 39937.8 493.748 0 0
13 7 3 117.91 136.723 0 0
13 9 3 7.46382e+06 30.0618 0 0
13 11 3 1.93994e+07 45305.7 0 0
13 22 3 1.63785e+06 8136.26 0 0
13 23 3 88172 17.4628 0 0
13 27 3 5.70304e+06 980.913 0 0
14 1 3 281627 439.861 0 0
14 8 3 3.54754e+06 5548.38 0 0
14 9 3 1.66098e+07 90.3686 0 0
14 11 3 10394.3 7111.01 0 0
14 17 3 1331.72 559.525 0 0
14 18 3 3.65459e+06 9663.05 0 0
14 21 3 8198.14 2911.7 0 0
14 24 3 3.63062e+07 31.992 0 0
14 26 3 92265.2 251.058 0 0
15 1 3 102422 2210.05 0 0
15 5 3 3.3587e+06 17885.9 0 0
15 8 3 5.82804e+06 77.8666 0 0
15 11 3 2.60979e+07 104.07 0 0
15 18 3 3871.08 12.1726 0 0
15 25 3 7.57358e+07 742.946 0 0
16 4 3 877.264 241.063 0 0
16 8 3 268258 5875.32 0 0
16 10 3 765.516 3560 0 0
16 11 3 832.865 26.7965 0 0
16 14 3 121424 4306.08 0 0
16 15 3 9.47004e+07 7.49751 0 0
16 18 3 2.00375e+06 53.0131 0 0
16 23 3 4969.72 28.3378 0 0
17 2 3 6.61251e+07 6000.74 0 0
17 3 3 38911.8 103.061 0 0
17 7 3 65874.4 237.779 0 0
17 12 3 2.34626e+07 640.489 0 0
17 29 3 8377.55 89.8872 0 0
18 4 3 28010.3 1528.94 0 0
18 8 3 283.891 49.7132 0 0
18 10 3 1285.11 132.294 0 0
18 13 3 150012 14.3822 0 0
18 16 3 1.36975e+06 4404.93 0 0
18 22 3 7.38976e+07 112.845 0 0
18 29 3 2343.99 3009 0 0
19 2 3 2.47431e+06 784.364 0 0
19 14 3 290013 7366.05 0 0
19 16 3 8973.39 73.7209 0 0
19 17 3 25234 3054.63 0 0
19 26 3 3.99664e+07 155.442 0 0
20 1 3 1.3445e+06 24620.9 0 0
20 5 3 6.00588e+07 7.32193 0 0
20 11 3 3.4889e+06 2227.85 0 0
21 2 3 6822.74 330.81 0 0
21 15 3 244.892 10.314 0 0
21 17 3 9.64913e+07 32774.7 0 0
21 24 3 235.307 186.028 0 0
22 0 3 381.177 8197.13 0 0
22 5 3 2272.53 37.3111 0 0
22 10 3 6.57786e+07 31.0856 0 0
22 19 3 955937 26758.8 0 0
22 21 3 6301.97 447.932 0 0
22 24 3 2.49537e+06 47967.4 0 0
22 29 3 3199.58 31.4038 0 0
23 5 3 161.733 8.57608 0 0
23 12 3 5287.36 12.3143 0 0
23 19 3 67796.3 1460.85 0 0
23 29 3 208.009 53.1811 0 0
24 1 3 3366.88 3828.7 0 0
24 3 3 5.51218e+06 1288.78 0 0
24 4 3 3.07882e+07 16.3629 0 0
24 9 3 8845.36 153.243 0 0
24 10 3 20748.2 444.337 0 0
24 18 3 8.83064e+07 427.038 0 0
24 20 3 5.28886e+07 1866.66 0 0
24 21 3 174950 465.568 0 0
25 0 3 866311 2547.64 0 0
25 7 3 2016.83 913.403 0 0
25 10 3 3.04927e+07 20156.9 0 0
25 21 3 1.61184e+06 8.16169 0 0
25 24 3 321519 5595.14 0 0
26 18 3 9421.77 163.496 0 0
26 19 3 8.68874e+06 4039.69 0 0
26 23 3 2204.82 207.908 0 0
26 25 3 5.31933e+06 12742.8 0 0
27 4 3 765459 246.268 0 0
27 10 3 4.06535e+07 128.788 0 0
27 15 3 883.066 858.507 0 0
27 16 3 2.70351e+07 1028.62 0 0
27 17 3 1.10704e+07 8095.31 0 0
27 24 3 100536 113.115 0 0
28 3 3 14866.6 1148.66 0 0
28 5 3 1.62357e+06 996.638 0 0
28 6 3 2.47435e+07 7022.76 0 0
28 9 3 5.27272e+07 176.372 0 0
28 16 3 607600 1341.81 0 0
28 17 3 2.49519e+07 2617.55 0 0
28 22 3 2462.57 98.1953 0 0
29 3 3 759904 12.0356 0 0
29 5 3 324351 78.9541 0 0
29 6 3 504.485 11.879 0 0
29 14 3 3301.75 16546.8 0 0
29 28 3 1.32891e+07 32921.8 0 0
29 31 2 407511 1966.18 0 0
30 0 1 0 0 0 0
