iteration param_name param_val param_factor ADPf AMPf ATPf DHAP E4P Fru16P2 Fru6P GSH GSSG Glc6P GlcA6P Glcin Glcout GraP Gri13P2 Gri23P2f Gri2P Gri3P Lac Lacex MgADP MgAMP MgATP MgGri23P2 Mgf NAD NADH NADPHf NADPf P1NADP P1NADPH P1f P2NADP P2NADPH P2f PEP PRPP Phi Phiex Pyr Pyrex Rib5P Rul5P Sed7P Xul5P v_1 v_10 v_11 v_12 v_13 v_14 v_15 v_16 v_17 v_18 v_19 v_2 v_20 v_21 v_22 v_23 v_24 v_25 v_26 v_27 v_28 v_29 v_3 v_30 v_31 v_32 v_33 v_34 v_35 v_36 v_37 v_38 v_4 v_5 v_6 v_7 v_8 v_9
0 ancestor 0.0 0.0 0.187128 0.0722413 0.183657 0.149233 0.00627176 0.0096835 0.0153444 3.11403 0.000186743 0.0394896 0.0250543 4.5668 5 0.00606287 0.000480655 2.06123 0.00844208 0.0657639 1.68031 1.68 0.136822 0.00243877 1.41771 0.687233 0.555793 0.0653436 0.000156372 0.00488917 2.34376e-05 5.73941e-06 0.0239453 4.89762e-05 0.00202414 0.0211122 0.000863632 0.0109396 1 0.999225 1 0.08399 0.084 0.0140053 0.00472192 0.0154123 0.0127437 1.51429 0.494049 2.95331 2.95331 2.95331 2.95331 0.0999495 2.38176 0.0258329 0.0966851 0.0966851 1.51429 0.0934208 0.0934208 0.0472348 0.0494503 0.0236174 0.0236174 0.0258329 0.0236174 0.0774987 -3.05326 1.41761 0.0999495 -6.66134e-13 -0.0258329 0.0258329 1.11022e-13 0 0 4.33681e-16 0 1.46484 1.46484 1.46484 2.95331 2.45926 0.494049
1 protein2 0.0273720762377 0.0570964992266 0.187128 0.0722413 0.183657 0.149233 0.00627176 0.0096835 0.0153444 3.11403 0.000186743 0.0394896 0.0250543 4.5668 5 0.00606287 0.000480655 2.06123 0.00844208 0.0657639 1.68031 1.68 0.136822 0.00243877 1.41771 0.687233 0.555793 0.0653436 0.000156372 0.00488917 2.34376e-05 5.73941e-06 0.0239453 4.89762e-05 0.00202414 0.0211122 0.000863632 0.0109396 1 0.999225 1 0.08399 0.084 0.0140053 0.00472192 0.0154123 0.0127437 1.51429 0.494049 2.95331 2.95331 2.95331 2.95331 0.0999495 2.38176 0.0258329 0.0966851 0.0966851 1.51429 0.0934208 0.0934208 0.0472348 0.0494503 0.0236174 0.0236174 0.0258329 0.0236174 0.0774987 -3.05326 1.41761 0.0999495 -6.66134e-13 -0.0258329 0.0258329 1.11022e-13 0 0 4.33681e-16 0 1.46484 1.46484 1.46484 2.95331 2.45926 0.494049
2 KFru6Pv3 0.10678026016 0.0284909746397 0.188434 0.0739876 0.181835 0.147634 0.00623994 0.00949115 0.0153877 3.11403 0.000186726 0.0395991 0.0250541 4.56767 5 0.00599784 0.000475566 2.03655 0.00850603 0.0661904 1.6803 1.68 0.138832 0.00251595 1.4144 0.684206 0.56005 0.0653437 0.000156346 0.00488964 2.33044e-05 5.70625e-06 0.0239453 4.89715e-05 0.00201343 0.0211226 0.000863973 0.0110548 1 0.999227 1 0.08399 0.084 0.013966 0.00470876 0.015544 0.0127082 1.51117 0.493708 2.94718 2.94718 2.94718 2.94718 0.0999591 2.37618 0.0257608 0.0966899 0.0966899 1.51117 0.0934208 0.0934208 0.0472861 0.0494039 0.023643 0.023643 0.0257608 0.023643 0.0772825 -3.04713 1.41448 0.0999591 -4.44089e-13 -0.0257608 0.0257608 0 0 0 -8.67362e-16 -1.38778e-14 1.46177 1.46177 1.46177 2.94718 2.45347 0.493708
3 KdAMP 10.9717357793 -0.18087798155 0.187676 0.0730631 0.182657 0.148412 0.00625472 0.0095836 0.0153637 3.11403 0.000186735 0.039538 0.0250512 4.56745 5 0.00602948 0.000478064 2.04879 0.0084731 0.0659666 1.6803 1.68 0.137723 0.00374044 1.41514 0.685576 0.557821 0.0653436 0.000156352 0.00488941 2.33691e-05 5.72237e-06 0.0239453 4.89738e-05 0.00201864 0.0211176 0.000863807 0.0109974 1 0.999226 1 0.08399 0.084 0.0139841 0.00471484 0.015475 0.0127246 1.51196 0.493876 2.94869 2.94869 2.94869 2.94869 0.0999544 2.37743 0.0257938 0.0966876 0.0966876 1.51196 0.0934208 0.0934208 0.0472625 0.0494251 0.0236313 0.0236313 0.0257938 0.0236313 0.0773815 -3.04865 1.41527 0.0999544 8.88178e-13 -0.0257938 0.0257938 -1.11022e-13 -8.47033e-19 0 -8.67362e-16 -6.93889e-15 1.46253 1.46253 1.46253 2.94869 2.45482 0.493876
4 KPv6 3.85727695737 -0.00478378414769 0.187679 0.0730642 0.182662 0.148407 0.00625452 0.00958294 0.0153634 3.11403 0.000186735 0.0395374 0.0250511 4.56745 5 0.00602926 0.000478094 2.04892 0.00847367 0.0659705 1.6803 1.68 0.137722 0.00374039 1.41513 0.685601 0.557805 0.0653436 0.000156352 0.00488941 2.33697e-05 5.72251e-06 0.0239453 4.89738e-05 0.00201869 0.0211175 0.000863806 0.0109983 1 0.999226 1 0.08399 0.084 0.0139839 0.00471475 0.0154748 0.0127243 1.51195 0.493878 2.94868 2.94868 2.94868 2.94868 0.0999544 2.37742 0.0257933 0.0966876 0.0966876 1.51195 0.0934208 0.0934208 0.0472628 0.0494248 0.0236314 0.0236314 0.0257933 0.0236314 0.07738 -3.04863 1.41526 0.0999544 4.44089e-13 -0.0257933 0.0257933 0 0 0 -4.33681e-16 -3.46945e-15 1.46252 1.46252 1.46252 2.94868 2.4548 0.493878
5 K3v24 0.199865551592 0.0619393837668 0.18768 0.0730649 0.182661 0.148406 0.00625254 0.00958293 0.0153632 3.11403 0.000186735 0.0395368 0.0250527 4.56744 5 0.00602925 0.000478093 2.04892 0.0084737 0.0659708 1.6803 1.68 0.137723 0.00374043 1.41513 0.685601 0.557805 0.0653436 0.000156352 0.00488941 2.33701e-05 5.72262e-06 0.0239453 4.89738e-05 0.00201872 0.0211175 0.000863805 0.0109984 1 0.999226 1 0.08399 0.084 0.0139879 0.00471611 0.0154937 0.012728 1.51196 0.493878 2.9487 2.9487 2.9487 2.9487 0.0999543 2.37742 0.0258007 0.0966876 0.0966876 1.51196 0.0934208 0.0934208 0.0472579 0.0494296 0.023629 0.023629 0.0258007 0.023629 0.077402 -3.04865 1.41528 0.0999543 -6.66134e-13 -0.0258007 0.0258007 1.11022e-13 -8.47033e-19 -3.46945e-15 8.67362e-16 6.93889e-15 1.46254 1.46254 1.46254 2.9487 2.45482 0.493878
6 KGSHv19 23.8368666995 0.0762191721595 0.18768 0.0730649 0.182661 0.148406 0.00625254 0.00958293 0.0153632 3.11403 0.000186471 0.0395368 0.0250527 4.56744 5 0.00602925 0.000478093 2.04892 0.0084737 0.0659708 1.6803 1.68 0.137723 0.00374043 1.41513 0.685601 0.557805 0.0653436 0.000156352 0.00488941 2.33701e-05 5.72262e-06 0.0239453 4.89738e-05 0.00201872 0.0211175 0.000863805 0.0109984 1 0.999226 1 0.08399 0.084 0.0139879 0.00471611 0.0154937 0.012728 1.51196 0.493878 2.9487 2.9487 2.9487 2.9487 0.0999543 2.37742 0.0258007 0.0966876 0.0966876 1.51196 0.0934208 0.0934208 0.0472579 0.0494296 0.023629 0.023629 0.0258007 0.023629 0.077402 -3.04865 1.41528 0.0999543 8.88178e-13 -0.0258007 0.0258007 -2.22045e-13 0 3.46945e-15 -4.33681e-16 0 1.46254 1.46254 1.46254 2.9487 2.45482 0.493878
7 KPEPv12 0.14392847624 -0.194035790538 0.180925 0.070853 0.175049 0.132387 0.00592121 0.00779586 0.0158213 3.11403 0.000186348 0.04071 0.0249073 4.56512 5 0.00537738 0.000425917 1.81148 0.00745163 0.0589498 1.68031 1.68 0.139938 0.00382182 1.42941 0.638892 0.587935 0.0653436 0.000156428 0.00489324 2.22871e-05 5.45321e-06 0.0239456 4.89362e-05 0.00193137 0.021202 0.000866586 0.00924945 1 0.999248 1 0.08399 0.084 0.0135771 0.00457864 0.0169414 0.0123568 1.52032 0.490006 2.96662 2.96662 2.96662 2.96662 0.100033 2.40141 0.0250657 0.0967267 0.0967267 1.52032 0.0934208 0.0934208 0.047774 0.0489527 0.023887 0.023887 0.0250657 0.023887 0.0751972 -3.06665 1.42359 0.100033 0 -0.0250657 0.0250657 -1.11022e-13 0 -3.46945e-15 1.0842e-15 1.04083e-14 1.47136 1.47136 1.47136 2.96662 2.47661 0.490006
8 KPEPv12 0.135380744249 -0.0265898302931 0.180078 0.0705764 0.174093 0.130401 0.00587776 0.00758716 0.0158798 3.11403 0.000186333 0.0408597 0.0248844 4.56484 5 0.00529656 0.000419453 1.78231 0.00732459 0.058077 1.68031 1.68 0.140223 0.00383242 1.4312 0.632845 0.591902 0.0653436 0.000156437 0.0048937 2.21545e-05 5.42027e-06 0.0239456 4.89315e-05 0.00192064 0.0212124 0.000866928 0.00903215 1 0.999251 1 0.08399 0.084 0.0135231 0.00456057 0.0171368 0.012308 1.52132 0.489467 2.96879 2.96879 2.96879 2.96879 0.100042 2.40441 0.024969 0.0967315 0.0967315 1.52132 0.0934208 0.0934208 0.0478416 0.0488898 0.0239208 0.0239208 0.024969 0.0239208 0.0749071 -3.06883 1.42459 0.100042 8.88178e-13 -0.024969 0.024969 -1.11022e-13 -8.47033e-19 3.46945e-15 4.33681e-16 6.93889e-15 1.47243 1.47243 1.47243 2.96879 2.47932 0.489467
9 KNADPHv18 0.00229876210108 -0.291718485322 0.180078 0.0705764 0.174093 0.130401 0.00587778 0.00758716 0.0158798 3.11403 0.000186338 0.0408597 0.0256263 4.56484 5 0.00529656 0.000419453 1.78231 0.00732459 0.058077 1.68031 1.68 0.140223 0.00383242 1.4312 0.632845 0.591902 0.0653436 0.000156437 0.00489355 2.21984e-05 5.43119e-06 0.0239456 4.89331e-05 0.00192419 0.021209 0.000866814 0.00903215 1 0.999251 1 0.08399 0.084 0.0135231 0.00456055 0.0171369 0.0123079 1.52132 0.489467 2.96879 2.96879 2.96879 2.96879 0.100039 2.40441 0.0249689 0.0967299 0.0967299 1.52132 0.0934208 0.0934208 0.0478407 0.0488892 0.0239203 0.0239203 0.0249689 0.0239203 0.0749068 -3.06882 1.42459 0.100039 1.11022e-12 -0.0249689 0.0249689 0 -8.47033e-19 0 0 3.46945e-15 1.47243 1.47243 1.47243 2.96879 2.47932 0.489467
