threshold rep index
-3.0 1 51
-3.0 2 52
-3.0 3 53
-3.0 4 54
-3.0 5 55
-3.0 6 56
-3.0 7 57
-3.0 8 58
-3.0 9 59
-3.0 10 60
-6.0 1 81
-6.0 2 82
-6.0 3 83
-6.0 4 84
-6.0 5 85
-6.0 6 86
-6.0 7 87
-6.0 8 88
-6.0 9 89
-6.0 10 90
1.0 1 11
1.0 2 12
1.0 3 13
1.0 4 14
1.0 5 15
1.0 6 16
1.0 7 17
1.0 8 18
1.0 9 19
1.0 10 20
-2.0 1 41
-2.0 2 42
-2.0 3 43
-2.0 4 44
-2.0 5 45
-2.0 6 46
-2.0 7 47
-2.0 8 48
-2.0 9 49
-2.0 10 50
0.0 1 21
0.0 2 22
0.0 3 23
0.0 4 24
0.0 5 25
0.0 6 26
0.0 7 27
0.0 8 28
0.0 9 29
0.0 10 30
-1.0 1 31
-1.0 2 32
-1.0 3 33
-1.0 4 34
-1.0 5 35
-1.0 6 36
-1.0 7 37
-1.0 8 38
-1.0 9 39
-1.0 10 40
-4.0 1 61
-4.0 2 62
-4.0 3 63
-4.0 4 64
-4.0 5 65
-4.0 6 66
-4.0 7 67
-4.0 8 68
-4.0 9 69
-4.0 10 70
2.0 1 1
2.0 2 2
2.0 3 3
2.0 4 4
2.0 5 5
2.0 6 6
2.0 7 7
2.0 8 8
2.0 9 9
2.0 10 10
-5.0 1 71
-5.0 2 72
-5.0 3 73
-5.0 4 74
-5.0 5 75
-5.0 6 76
-5.0 7 77
-5.0 8 78
-5.0 9 79
-5.0 10 80
